id,org_id_type,value
88818317,iwt_id,530552
65431910,iwt_id,1050507
08630352,iwt_id,1198339
77123411,iwt_id,830095
89544915,iwt_id,1207521
60660097,iwt_id,529366
75949116,iwt_id,937178
85238907,iwt_id,818679
40333772,iwt_id,1334796
39959772,iwt_id,1576322
14232492,iwt_id,817982
69486787,iwt_id,1408086
86488736,iwt_id,817949
05343141,iwt_id,776106
11533440,iwt_id,923345
70650427,iwt_id,776765
53258020,iwt_id,843691
23438479,iwt_id,834611
84294557,iwt_id,1351661
59797967,iwt_id,1076678
14696554,iwt_id,1206273
99126548,iwt_id,1205611
39596239,iwt_id,937046
24143927,iwt_id,1051960
00943962,iwt_id,1399622
98846897,iwt_id,1396577
56073068,iwt_id,1122410
59880995,iwt_id,820028
10616631,iwt_id,1078967
73601209,iwt_id,923497
33101650,iwt_id,923330
68394565,iwt_id,1322590
40553326,iwt_id,1200379
16043937,iwt_id,1437408
21429674,iwt_id,1165475
57016852,iwt_id,1351662
84909391,iwt_id,1165482
75831139,iwt_id,1076613
78841595,iwt_id,819666
09412421,iwt_id,1437366
43296697,iwt_id,1198353
32568052,iwt_id,1169471
79326589,iwt_id,1164252
92055953,iwt_id,936062
65604938,iwt_id,1351671
47479266,iwt_id,1409162
29028936,iwt_id,1585991
54413222,iwt_id,923498
97109359,iwt_id,923883
28880331,iwt_id,1169643
36284059,iwt_id,844750
98529653,iwt_id,530553
75358299,iwt_id,923332
40005410,iwt_id,923335
92810008,iwt_id,776732
91690478,iwt_id,923495
20698722,iwt_id,843557
98845779,iwt_id,1589294
50167214,iwt_id,529331
24252232,iwt_id,1351668
24542204,iwt_id,818180
74443723,iwt_id,923487
41167500,iwt_id,1076676
45080257,iwt_id,923493
28875623,iwt_id,1578513
73617197,iwt_id,1409639
68633610,iwt_id,923339
60173336,iwt_id,1200826
55262123,iwt_id,1166233
75717149,iwt_id,1488158
80444651,iwt_id,1205034
27595491,iwt_id,842633
21152273,iwt_id,1076658
36344329,iwt_id,769175
06419830,iwt_id,576026
11528887,iwt_id,1084037
75336472,iwt_id,1416269
55367046,iwt_id,923890
96168795,iwt_id,566301
85444550,iwt_id,1198581
19616971,iwt_id,530548
67192487,iwt_id,923450
96160346,iwt_id,1196314
93861421,iwt_id,837486
04430726,iwt_id,1398810
12603400,iwt_id,1076659
81162273,iwt_id,1210135
97551936,iwt_id,1198791
48846458,iwt_id,1351664
54557823,iwt_id,1198918
36327292,iwt_id,937179
05067286,iwt_id,1162812
90629022,iwt_id,1198522
78499539,iwt_id,923907
11717380,iwt_id,923341
80248386,iwt_id,1196285
23842828,iwt_id,923898
60622915,iwt_id,527155
73835587,iwt_id,820787
03039295,iwt_id,1203243
34017441,iwt_id,923338
92518375,iwt_id,1171826
72623575,iwt_id,1396558
16800894,iwt_id,1351674
48192898,iwt_id,923894
19527264,iwt_id,1177773
91387733,iwt_id,532107
84125951,iwt_id,923893
29456469,iwt_id,1351672
83915276,iwt_id,1502040
79250824,iwt_id,1171423
71293474,iwt_id,1392368
96833598,iwt_id,1200835
69721950,iwt_id,923342
44234861,iwt_id,1167179
35176046,iwt_id,1165941
16568186,iwt_id,1411927
89507006,iwt_id,1166942
65033232,iwt_id,1206477
05977818,iwt_id,1163257
63057993,iwt_id,923895
25119414,iwt_id,1050508
19695418,iwt_id,1322591
72307947,iwt_id,1206272
76580663,iwt_id,1205619
00042991,iwt_id,1322552
99031284,iwt_id,1196310
73264264,iwt_id,923492
62073302,iwt_id,1351675
26885604,iwt_id,1205855
75327739,iwt_id,1122419
32235798,iwt_id,814748
74882415,iwt_id,1351673
57884471,iwt_id,1488154
90684371,iwt_id,923348
36524688,iwt_id,923902
62247017,iwt_id,845736
13046910,iwt_id,818279
14165499,iwt_id,527167
46999676,iwt_id,1166082
94287722,iwt_id,776243
73194811,iwt_id,923485
50150236,iwt_id,1197966
97781237,iwt_id,815310
62627001,iwt_id,1351663
57947842,iwt_id,820127
87882335,iwt_id,776105
63519981,iwt_id,923901
66980491,iwt_id,1076672
28996492,iwt_id,999807
21849409,iwt_id,923494
02655164,iwt_id,815441
58681692,iwt_id,1076612
23112878,iwt_id,1404079
36008738,iwt_id,903847
26963665,iwt_id,1322554
92711180,iwt_id,1202115
61318893,iwt_id,532103
80534142,iwt_id,791459
51286019,iwt_id,835109
40196289,iwt_id,817916
45785497,iwt_id,1180446
54663624,iwt_id,769117
89533256,iwt_id,1169354
89140810,iwt_id,1203723
97846374,iwt_id,1576025
30266580,iwt_id,1416230
61959718,iwt_id,1397983
65580515,iwt_id,1202030
75639112,iwt_id,1289261
71848367,iwt_id,1322560
08520927,iwt_id,1322555
42445693,iwt_id,820094
41152679,iwt_id,999817
53672750,iwt_id,576093
53217856,iwt_id,1176483
54317252,iwt_id,1181562
38098774,iwt_id,847319
62321991,iwt_id,1169635
43182156,iwt_id,822932
11257516,iwt_id,1199256
59942439,iwt_id,1050501
38145952,iwt_id,775158
34889356,iwt_id,1103762
21360376,iwt_id,1598005
96008259,iwt_id,1165485
74034832,iwt_id,1598047
98654914,iwt_id,1111071
58714078,iwt_id,1050467
78185961,iwt_id,1337275
19192008,iwt_id,1598039
51298927,iwt_id,566407
85961545,iwt_id,1638131
41809915,iwt_id,776685
02059904,iwt_id,775612
58762792,iwt_id,1111072
83709287,iwt_id,1289263
81174835,iwt_id,1399573
76980152,iwt_id,1277959
71658838,iwt_id,1247163
59731751,iwt_id,776575
18409167,iwt_id,1247162
67008477,iwt_id,1247148
45073284,iwt_id,1247178
37416993,iwt_id,1602528
75102546,iwt_id,1304751
11870940,iwt_id,1111076
97379252,iwt_id,1551869
91467606,iwt_id,1122457
31323648,iwt_id,1598008
69171868,iwt_id,1277951
48213803,iwt_id,1122475
13960522,iwt_id,1363410
94644221,iwt_id,566295
89706714,iwt_id,937049
65292459,iwt_id,1338967
58094555,iwt_id,1196307
54346053,iwt_id,1360942
90257681,iwt_id,1488163
33783256,iwt_id,1507904
48977350,iwt_id,1277949
54434502,iwt_id,999813
14870722,iwt_id,937115
85961444,iwt_id,1339401
63869666,iwt_id,1488166
14535066,iwt_id,1165472
31233286,iwt_id,1180461
01167375,iwt_id,1113124
39069001,iwt_id,1195123
97231571,iwt_id,1277962
70798090,iwt_id,775164
31079031,iwt_id,1488192
51689947,iwt_id,769113
19218416,iwt_id,1111075
74567227,iwt_id,1224081
81939099,iwt_id,1437410
16713867,iwt_id,1122421
76616405,iwt_id,1598004
59272471,iwt_id,1598038
81888851,iwt_id,776263
11087741,iwt_id,1122461
79740806,iwt_id,1177658
45753406,iwt_id,776686
59430761,iwt_id,776252
09543305,iwt_id,1488167
93501706,iwt_id,1122412
57755932,iwt_id,776242
78169757,iwt_id,1069709
74974757,iwt_id,776602
56317580,iwt_id,1216649
63952752,iwt_id,1076611
37215911,iwt_id,1113114
72493192,iwt_id,1205557
98944770,iwt_id,1502038
36179138,iwt_id,776239
76752931,iwt_id,1196302
50794401,iwt_id,1113099
12203587,iwt_id,1122456
31941769,iwt_id,1488172
74455957,iwt_id,1304753
18917473,iwt_id,1598048
62007341,iwt_id,937047
09486251,iwt_id,1137410
06501766,iwt_id,1385556
69866653,iwt_id,776174
56292831,iwt_id,775159
48841889,iwt_id,775155
75470035,iwt_id,1488135
01655584,iwt_id,1488134
85827420,iwt_id,1289260
44306610,iwt_id,1565550
09522098,iwt_id,1113106
16979282,iwt_id,1176471
64888094,iwt_id,1165565
02823070,iwt_id,1247118
18884372,iwt_id,1488149
05046981,iwt_id,1122389
04975263,iwt_id,1399588
34629735,iwt_id,776008
30485940,iwt_id,1525270
29407200,iwt_id,1122422
77715035,iwt_id,776009
34781849,iwt_id,776018
55603084,iwt_id,1196303
06084827,iwt_id,1122471
57014723,iwt_id,1338689
14737477,iwt_id,1137408
30662131,iwt_id,1437356
16938788,iwt_id,1122390
84027006,iwt_id,1050504
02167208,iwt_id,1113121
16539237,iwt_id,1488142
99638838,iwt_id,566390
37985016,iwt_id,923886
44916443,iwt_id,776676
84891267,iwt_id,1113111
86414406,iwt_id,776675
87147327,iwt_id,1113119
52891139,iwt_id,776682
69915945,iwt_id,776244
58536300,iwt_id,1050237
30611851,iwt_id,830753
40107709,iwt_id,775154
08605185,iwt_id,1247167
16077000,iwt_id,1598007
59324226,iwt_id,566392
19587051,iwt_id,1488179
75499637,iwt_id,776172
83157059,iwt_id,1322553
70426835,iwt_id,1322564
82299484,iwt_id,1505975
87890370,iwt_id,1247197
20729346,iwt_id,1437352
74705595,iwt_id,769209
72868913,iwt_id,1113107
44252210,iwt_id,1247132
43735230,iwt_id,566394
99103746,iwt_id,1247117
18782480,iwt_id,776253
63643691,iwt_id,1488181
57397485,iwt_id,1122433
82456429,iwt_id,1399584
70892929,iwt_id,1199509
46916197,iwt_id,776262
38142077,iwt_id,1122472
19150699,iwt_id,1137404
73253030,iwt_id,1553388
85623466,iwt_id,776666
72940190,iwt_id,1488178
65156195,iwt_id,1196299
76030080,iwt_id,1416426
31522723,iwt_id,1322565
15231585,iwt_id,1076674
92314479,iwt_id,791650
32544189,iwt_id,1200984
43297796,iwt_id,566391
20748255,iwt_id,1196293
57514353,iwt_id,1277958
40161242,iwt_id,1137411
43310144,iwt_id,1122473
41988053,iwt_id,1399585
35830525,iwt_id,1176427
91587379,iwt_id,1598040
02971652,iwt_id,1113102
97956203,iwt_id,1122431
99895113,iwt_id,1573703
70900725,iwt_id,1598042
71287148,iwt_id,1437351
18059611,iwt_id,1137416
87416645,iwt_id,1076680
78843823,iwt_id,566412
69021180,iwt_id,1505042
21010680,iwt_id,1385631
59299410,iwt_id,1505044
08751558,iwt_id,566408
70019741,iwt_id,566411
99297914,iwt_id,1206458
15963294,iwt_id,1434167
66565849,iwt_id,1168159
74885650,iwt_id,1168146
22180577,iwt_id,1113091
47449319,iwt_id,1113095
76253270,iwt_id,1277961
24408697,iwt_id,1076619
43097581,iwt_id,1122487
55983466,iwt_id,1437570
08745595,iwt_id,1363406
73949299,iwt_id,1525255
03910719,iwt_id,776674
46988113,iwt_id,1598044
21215454,iwt_id,1122423
79503383,iwt_id,1399590
70676984,iwt_id,1113110
47968489,iwt_id,1000711
16944466,iwt_id,1399591
38927906,iwt_id,776246
32221875,iwt_id,924051
19013708,iwt_id,1195101
14574612,iwt_id,1488132
82276877,iwt_id,1542069
46347384,iwt_id,1076609
89052632,iwt_id,1196284
09860224,iwt_id,776209
75177102,iwt_id,1212625
18856477,iwt_id,1203224
45503302,iwt_id,1437353
21260203,iwt_id,1247199
86502767,iwt_id,1017464
13175646,iwt_id,1222601
59493655,iwt_id,1435891
58988570,iwt_id,1180456
65012648,iwt_id,1488126
47744565,iwt_id,1176372
03080430,iwt_id,1050302
96241254,iwt_id,1122438
69031440,iwt_id,1304755
06483040,iwt_id,936102
24265664,iwt_id,1113125
80174234,iwt_id,1122465
72359606,iwt_id,1165478
79386129,iwt_id,1380239
72592798,iwt_id,1437567
37705345,iwt_id,1017463
70799385,iwt_id,1113100
82868076,iwt_id,1169378
48274219,iwt_id,1122464
10890753,iwt_id,1488195
35216126,iwt_id,1111079
06024435,iwt_id,1399582
79237385,iwt_id,776256
46921421,iwt_id,1122409
59075438,iwt_id,775169
62707944,iwt_id,1488127
01559221,iwt_id,923888
77240785,iwt_id,1069735
54644286,iwt_id,1065416
26205681,iwt_id,1638133
25139559,iwt_id,1322567
65943292,iwt_id,1113098
34276054,iwt_id,1122454
64199512,iwt_id,1165480
13465622,iwt_id,1247184
25599500,iwt_id,1247122
54916908,iwt_id,1247150
52515110,iwt_id,775153
51650944,iwt_id,776683
14546735,iwt_id,776139
30581350,iwt_id,1017461
41591600,iwt_id,1600743
86382165,iwt_id,1507899
82937691,iwt_id,566303
47032286,iwt_id,936097
23309628,iwt_id,1202340
41007689,iwt_id,1122467
14899400,iwt_id,1216650
58621384,iwt_id,1247125
33661779,iwt_id,937050
11558937,iwt_id,775170
36462000,iwt_id,1122470
53934652,iwt_id,936101
96968785,iwt_id,1247116
46249014,iwt_id,1488170
65663225,iwt_id,1196294
40473880,iwt_id,1103795
16635681,iwt_id,1557058
42882002,iwt_id,1509076
51849126,iwt_id,1206563
74772506,iwt_id,936058
51118984,iwt_id,1113094
50089066,iwt_id,566305
90490947,iwt_id,1137414
94777016,iwt_id,1017451
08198550,iwt_id,1247143
51603796,iwt_id,1488138
55867141,iwt_id,1069739
91847292,iwt_id,1543327
64712899,iwt_id,1552100
38328276,iwt_id,791454
12929318,iwt_id,1247177
63040065,iwt_id,776680
59887751,iwt_id,1180462
03635169,iwt_id,1488190
17474675,iwt_id,1525257
30891673,iwt_id,776210
42274416,iwt_id,1247195
31261684,iwt_id,1399592
18185683,iwt_id,856823
31379031,iwt_id,1488137
34514938,iwt_id,1196298
49375338,iwt_id,1405811
00981862,iwt_id,1137409
46927694,iwt_id,566393
82345189,iwt_id,1180458
56934064,iwt_id,1180455
75124040,iwt_id,1122483
25202257,iwt_id,1206435
40265058,iwt_id,1360948
92456539,iwt_id,1180465
62636290,iwt_id,1247123
80708256,iwt_id,1137412
99056037,iwt_id,1206478
59752298,iwt_id,1525258
66754937,iwt_id,936063
04467418,iwt_id,1137406
17011642,iwt_id,566406
03711591,iwt_id,1247193
76746537,iwt_id,1076620
45492656,iwt_id,1122405
06272747,iwt_id,1488173
04017477,iwt_id,1247171
01183950,iwt_id,1247127
62079326,iwt_id,1208568
75521394,iwt_id,1165484
77777423,iwt_id,775160
87112813,iwt_id,1196313
56711178,iwt_id,776677
01711166,iwt_id,1399581
36214101,iwt_id,1488147
90230908,iwt_id,1196286
68746773,iwt_id,1196304
08821130,iwt_id,776107
80673828,iwt_id,1176472
82254609,iwt_id,1122437
15885984,iwt_id,1247170
12156313,iwt_id,1507898
32109989,iwt_id,1545863
75203127,iwt_id,1397496
29456233,iwt_id,1247146
99565477,iwt_id,776633
15540508,iwt_id,1525253
93679637,iwt_id,1488165
01380820,iwt_id,1304754
99778275,iwt_id,1277965
77601856,iwt_id,1525317
82298463,iwt_id,1597970
39323015,iwt_id,1169363
48460463,iwt_id,1247175
64873779,iwt_id,1247194
35448631,iwt_id,1247152
65823010,iwt_id,1514098
66987511,iwt_id,776020
98855531,iwt_id,1277950
57272061,iwt_id,1180463
73638946,iwt_id,1525272
48328217,iwt_id,791453
46182091,iwt_id,1247176
16613194,iwt_id,776016
93593574,iwt_id,1087576
57508909,iwt_id,776011
38231467,iwt_id,923889
23781171,iwt_id,1213112
58614584,iwt_id,1360940
33711774,iwt_id,1170707
43726720,iwt_id,937048
44584575,iwt_id,776603
87608661,iwt_id,1525271
78516750,iwt_id,1122462
80182334,iwt_id,1380909
11334217,iwt_id,1598009
68113498,iwt_id,1176462
50124720,iwt_id,1214818
40358945,iwt_id,1322562
88578483,iwt_id,936090
60436305,iwt_id,30676
15320355,iwt_id,923896
74686506,iwt_id,775161
40467045,iwt_id,1122420
89727407,iwt_id,1050303
94001941,iwt_id,936061
86356280,iwt_id,1176365
91842537,iwt_id,1176368
87982995,iwt_id,1111074
38146416,iwt_id,776140
46106695,iwt_id,1113108
94825802,iwt_id,1392033
54979993,iwt_id,936099
56059544,iwt_id,1122485
63024485,iwt_id,923857
69030567,iwt_id,923892
95236802,iwt_id,1399577
17004567,iwt_id,1196305
29617632,iwt_id,1304763
39768597,iwt_id,791616
10152674,iwt_id,791714
26639766,iwt_id,1196300
69534300,iwt_id,937113
17187491,iwt_id,1247155
62775070,iwt_id,1247182
86197539,iwt_id,1247157
79671870,iwt_id,1417823
44164529,iwt_id,1122397
27998416,iwt_id,1540490
69131733,iwt_id,1122411
76369005,iwt_id,776250
54776698,iwt_id,1076677
76877411,iwt_id,1196312
55077258,iwt_id,1196295
29586400,iwt_id,1170963
69895396,iwt_id,1502035
26333645,iwt_id,776240
50121532,iwt_id,1289266
64588741,iwt_id,1198906
23396211,iwt_id,1598036
36014552,iwt_id,1122391
88966142,iwt_id,1247190
04495161,iwt_id,1206490
02789053,iwt_id,1218411
36199320,iwt_id,1206491
31141893,iwt_id,1438209
33690071,iwt_id,1399587
13571330,iwt_id,1122480
34301829,iwt_id,1399579
99113079,iwt_id,1113123
61156065,iwt_id,1448341
85313575,iwt_id,923904
66682062,iwt_id,1122476
50620398,iwt_id,1122484
14535523,iwt_id,1122481
69477790,iwt_id,776175
45339049,iwt_id,775162
43418114,iwt_id,776672
40230421,iwt_id,1502034
22219107,iwt_id,838673
16614221,iwt_id,1540516
88091238,iwt_id,1350173
62507245,iwt_id,1438249
78497856,iwt_id,1385622
00541450,iwt_id,566402
87170425,iwt_id,566297
72684735,iwt_id,776600
74963559,iwt_id,1616846
90416474,iwt_id,1514995
20066343,iwt_id,1206482
21534854,iwt_id,1474162
74318673,iwt_id,1505974
16227316,iwt_id,1247145
15496093,iwt_id,936098
90449743,iwt_id,1076663
75047304,iwt_id,1488128
08835930,iwt_id,1222638
07740800,iwt_id,1436047
13576951,iwt_id,1435842
85492671,iwt_id,1207245
93931583,iwt_id,1385584
14158081,iwt_id,1247180
34879225,iwt_id,1247185
