iwt_id,iwt_name,iwt_image,iwt_dob,iwt_nationality,iwt_yob
775115,Soufiane Sahili,,,Morocco,
775148,Yves Masnada,,,Morocco,
775149,Reda El Abdi,,,Morocco,
775170,Fettah Lamara,,,Morocco,
775150,Luc Telmat,,,,
775151,Marc Alonso Camara,,,Spain,
775152,Miguel Marcal Correa,,,,
775153,Federic Houdier,,,,
775154,Burkhard Schmiesing,,,Germany,
775155,Attar Anas,,,,
775156,Salah Eddine,,,Morocco,
775157,Rachdi El Abdi,,,,
775158,Abdelfettah Karkar,,,,
775159,Asninar Marvan,,,,
775160,Hajib El Abdi,,,Morocco,
775161,Jalil Nouredine,,,,
775162,Jonas Dunand,,,,
775163,Stephane Leveque,,,,
775164,Andreas Kohl,,,,
775166,Sami El Abdi,,,,
775167,Salah Aboulkam,,,,
775168,Younes Attar,,,,
775169,Emasi Zargan,,,,
775612,Ajininar Marwan,,,Morocco,
527155,Marcilio Browne,https://www.liveheats.com/images/877ad891-76ec-49fc-8eb6-d9f899293e9f.webp,2023-05-04,Brazil,2023
822932,Marc Paré Rico,https://www.liveheats.com/images/91f017d3-3e01-4e79-ae67-425a233897a1.webp,1998-05-22,Spain,1998
1171826,Marino Gil Gherardi,https://www.liveheats.com/images/1ff8b666-5d0e-48ae-b72e-0a311feefef0.webp,2002-08-18,Spain,2002
845736,Ricardo Campello,https://www.liveheats.com/images/050503b5-9b6f-47d0-809e-373e0b56ae3b.webp,1985-07-16,Venezuela (Bolivarian Republic of),1985
814748,Philip Köster,https://www.liveheats.com/images/b2e3b752-d739-4f4c-9b04-bb14b29d4aef.webp,2023-03-05,Germany,2023
837486,Leon Jamaer,,1989-12-25,German,1989
1198339,Alessio Lucca Stillrich,https://www.liveheats.com/images/224fe7da-b154-4655-99cf-02f0429e4f36.webp,1995-03-14,Spain,1995
923487,Josep Pons,,,Spain,
820094,Víctor Fernández,https://www.liveheats.com/images/6537867d-aaae-443a-9116-ece23adf9c74.webp,1984-04-25,Spain,1984
1334796,Antoine Martin,https://liveheats.com/images/9de1f746-39af-42d4-a029-62c0eb635e17.webp,1993-10-19,Guadeloupe,1993
530552,Adam Warchol,https://www.liveheats.com/images/68fbd978-38bf-4018-86c3-4185fd1936b7.webp,,Poland,
1578513,Jules Denel,"https://res.cloudinary.com/liveheats-com/image/facebook/w_128,h_128/10159541704376089.webp",1990-05-17,France,1990
818279,Robby Swift,https://www.liveheats.com/images/7c6f3849-faff-45dc-af2f-39c67fb240d3.webp,1984-04-11,United Kingdom of Great Britain and Northern Ireland,1984
819666,Federico Morisio,https://www.liveheats.com/images/71cf3b8e-5f64-4b05-b81f-6386611c3157.webp,1995-07-13,Italy,1995
1169354,Thomas Traversa,"https://res.cloudinary.com/liveheats-com/image/facebook/w_128,h_128/10231984318847473.webp",1985-12-04,France,1985
1411927,Moritz Mauch,,1996-03-24,Germany,1996
818679,Antoine Albert,https://www.liveheats.com/images/fabc400d-f451-4d1f-b973-f2f259b902d3.webp,1994-04-12,New Caledonia,1994
843557,Jake Schettewi,,2001-01-25,United States of America,2001
1169635,Liam Dunkerbeck,https://www.liveheats.com/images/14845883-c8bd-408e-9538-89f82eff2fc5.webp,2004-02-11,Spain,2004
1200379,Dieter Van der Eyken,https://www.liveheats.com/images/cd975d27-b0c1-4c53-8e3c-cf5264824d98.webp,1992-04-01,Belgium,1992
1408086,Arthur Arutkin,https://liveheats.com/images/d69d75e9-acb9-491e-aa46-7a8e8c886aaf.webp,1997-02-11,France,1997
1409162,Graham Ezzy,"https://res.cloudinary.com/liveheats-com/image/facebook/w_128,h_128/10169436634650004.webp",1989-10-05,United States of America,1989
1200835,Miguel Chapuis,https://www.liveheats.com/images/619b77c0-6085-4584-b41e-a38e1b9aeede.webp,2001-02-25,Spain,2001
1200826,Julian Salmonn,"https://res.cloudinary.com/liveheats-com/image/facebook/w_128,h_128/7123057954474536.webp",1998-08-06,Germany,1998
817916,Takuma Sugi,https://liveheats.com/images/cfafe559-ce51-4d8a-84c6-2b12b55885c7.webp,2002-07-23,Japan,2002
835109,Takara Ishii 石井孝良,https://www.liveheats.com/images/4c3d715d-31d0-4d4d-b0e2-825c413c7e8c.webp,2001-01-13,Japan,2001
1165941,Morgan Noireaux,https://www.liveheats.com/images/20fe805d-c513-4b6d-9ff5-c4558ec536e8.webp,1994-10-23,Hawaii,1994
844750,Hayata Ishiii,https://www.liveheats.com/images/85f187f0-6998-4d32-9d72-d31bb147620e.webp,2005-05-16,Japan,2005
1392368,Michael Rene Friedl Morales,https://liveheats.com/images/6032d81f-8cb1-49a6-8f6e-d9fbf1ec8656.webp,2002-05-25,Spain,2002
530553,Henri Kolberg,https://www.liveheats.com/images/67d5ac9c-9e4f-43b2-9695-cf9fbe58a547.webp,,Germany,
923493,José Romero,,,,
923492,Omar Sanchez,,,,
923494,Simon Thule,,,Denmark,
1169471,Flechet Titouan,"https://res.cloudinary.com/liveheats-com/image/facebook/w_128,h_128/2598927263616909.webp",2003-08-14,France,2003
923485,Samuele Ferraro,,,Italy,
1166233,Julien FLECHET,https://liveheats.com/images/0623037b-4022-40ab-84be-6493428fb6d4.webp,2001-09-24,France,2001
817949,Baptiste Cloarec,,2000-06-12,France,2000
1163257,Nick Spangenberg,https://liveheats.com/images/56cc0a80-1395-44e7-8a0d-a2de069f8a8b.webp,2003-01-14,Germany,2003
