,results_status,event_id,event_name,division_name,day_window,division_rank_name,division_rank_id,stars,event_link,sex,start_date,location,division_id,finish_date
0,Results Published,190953,HAWAII: 2 STAR Challengers - Maui Strong Aloha Classic Grand Final,Men,12,Men,363706,2.0,,,22/10/2023,Hawaii,363706,03/11/2023
1,Results Published,190953,HAWAII: 2 STAR Challengers - Maui Strong Aloha Classic Grand Final,Women,12,Women,363707,2.0,,,22/10/2023,Hawaii,363707,03/11/2023
2,Results Published,190953,HAWAII: 2 STAR Challengers - Maui Strong Aloha Classic Grand Final,U20 Boys,12,U20 Boys,363708,2.0,,,22/10/2023,Hawaii,363708,03/11/2023
3,Results Published,147526,Denmark: 2 STAR Open Windsurf Wave Championships,Men,2,Men,290156,2.0,,,10/06/2023,Denmark,290156,12/06/2023
4,Results Published,147526,Denmark: 2 STAR Open Windsurf Wave Championships,Women,2,Women,290157,2.0,,,10/06/2023,Denmark,290157,12/06/2023
5,Results Published,147526,Denmark: 2 STAR Open Windsurf Wave Championships,Junior Boys,2,Junior Boys,290158,2.0,,,10/06/2023,Denmark,290158,12/06/2023
6,Results Published,147526,Denmark: 2 STAR Open Windsurf Wave Championships,Junior Girls,2,Junior Girls,290159,2.0,,,10/06/2023,Denmark,290159,12/06/2023
7,Results Published,147526,Denmark: 2 STAR Open Windsurf Wave Championships,Masters,2,Masters,290160,2.0,,,10/06/2023,Denmark,290160,12/06/2023
8,Results Published,164024,PERU: 2 STAR Pacasmayo Classic,Men,10,Men,315787,2.0,,,25/08/2023,Peru,315787,04/09/2023
9,Completed events,357,2024 Gran Canaria GLORIA PWA Windsurfing Grand Slam ******,Mens 2024 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Wave elimination double elimination,8,Wave Men,960,,https://www.pwaworldtour.com/index.php?id=38&tx_pwaevent_pi1%5BshowUid%5D=357&cHash=c9720a68c542213e603b7dd18e1a98cf,Men,2024-06-29,,857,2024-07-07
10,Completed events,357,2024 Gran Canaria GLORIA PWA Windsurfing Grand Slam ******,Mens 2024 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Wave elimination,8,Wave Men,960,,https://www.pwaworldtour.com/index.php?id=38&tx_pwaevent_pi1%5BshowUid%5D=357&cHash=c9720a68c542213e603b7dd18e1a98cf,Men,2024-06-29,,855,2024-07-07
11,Completed events,358,2024 Tenerife PWA World Cup ****,Mens 2024 Tenerife PWA World Cup ***** Mens Wave elimination double elimination,6,Wave Men,964,,https://www.pwaworldtour.com/index.php?id=38&tx_pwaevent_pi1%5BshowUid%5D=358&cHash=810d8779bf78e5fb75817e83f998b70b,Men,2024-08-05,,926,2024-08-11
12,Completed events,358,2024 Tenerife PWA World Cup ****,Mens 2024 Tenerife PWA World Cup ***** Mens Wave elimination,6,Wave Men,964,,https://www.pwaworldtour.com/index.php?id=38&tx_pwaevent_pi1%5BshowUid%5D=358&cHash=810d8779bf78e5fb75817e83f998b70b,Men,2024-08-05,,924,2024-08-11
13,Completed events,363,2024 Citroën PWA Windsurf World Cup Sylt *******,Mens 2024 Citroen PWA Windsurf World Cup Sylt ******* Mens Wave elimination,9,Wave Men,978,,https://www.pwaworldtour.com/index.php?id=38&tx_pwaevent_pi1%5BshowUid%5D=363&cHash=bf5225169ae75b8279dac2e81dc7def1,Men,2024-09-27,,929,2024-10-06
14,Completed events,363,2024 Citroën PWA Windsurf World Cup Sylt *******,Mens 2024 Citroen PWA Windsurf World Cup Sylt ******* Mens Wave elimination double elimination,9,Wave Men,978,,https://www.pwaworldtour.com/index.php?id=38&tx_pwaevent_pi1%5BshowUid%5D=363&cHash=bf5225169ae75b8279dac2e81dc7def1,Men,2024-09-27,,931,2024-10-06
15,Completed events,338,2023 Gran Canaria PWA Windsurfing Grand Slam ******,Mens 2023 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Wave elimination double elimination,8,Wave Men,918,,https://www.pwaworldtour.com/index.php?id=38&tx_pwaevent_pi1%5BshowUid%5D=338&cHash=b9ace970f382423c0fca8363194b4212,Men,2023-07-01,,759,2023-07-09
16,Completed events,338,2023 Gran Canaria PWA Windsurfing Grand Slam ******,Mens 2023 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Wave elimination,8,Wave Men,918,,https://www.pwaworldtour.com/index.php?id=38&tx_pwaevent_pi1%5BshowUid%5D=338&cHash=b9ace970f382423c0fca8363194b4212,Men,2023-07-01,,755,2023-07-09
