,event_id,event_name,results_status,day_window,start_date,finish_date,location,stars,elimination_id,event_link,division_id,source,year,elimination_name,division_name,sex,standard_event_name
0,190953,HAWAII: 2 STAR Challengers - Maui Strong Aloha Classic Grand Final,Results Published,12,2023-10-22,2023-03-11,Hawaii,2.0,363706,,363706,live heats,2023.0,Men,Men,Men,Challengers - Maui Strong Aloha Classic Grand Final
1,190953,HAWAII: 2 STAR Challengers - Maui Strong Aloha Classic Grand Final,Results Published,12,2023-10-22,2023-03-11,Hawaii,2.0,363707,,363707,live heats,2023.0,Women,Women,Women,Challengers - Maui Strong Aloha Classic Grand Final
2,190953,HAWAII: 2 STAR Challengers - Maui Strong Aloha Classic Grand Final,Results Published,12,2023-10-22,2023-03-11,Hawaii,2.0,363708,,363708,live heats,2023.0,U20 Boys,U20 Boys,Men,Challengers - Maui Strong Aloha Classic Grand Final
3,147526,Denmark: 2 STAR Open Windsurf Wave Championships,Results Published,2,2023-06-10,2023-12-06,Denmark,2.0,290156,,290156,live heats,2023.0,Men,Men,Men,Open Windsurf Wave Championships
4,147526,Denmark: 2 STAR Open Windsurf Wave Championships,Results Published,2,2023-06-10,2023-12-06,Denmark,2.0,290157,,290157,live heats,2023.0,Women,Women,Women,Open Windsurf Wave Championships
5,147526,Denmark: 2 STAR Open Windsurf Wave Championships,Results Published,2,2023-06-10,2023-12-06,Denmark,2.0,290158,,290158,live heats,2023.0,Junior Boys,Junior Boys,Men,Open Windsurf Wave Championships
6,147526,Denmark: 2 STAR Open Windsurf Wave Championships,Results Published,2,2023-06-10,2023-12-06,Denmark,2.0,290159,,290159,live heats,2023.0,Junior Girls,Junior Girls,Women,Open Windsurf Wave Championships
7,147526,Denmark: 2 STAR Open Windsurf Wave Championships,Results Published,2,2023-06-10,2023-12-06,Denmark,2.0,290160,,290160,live heats,2023.0,Masters,Masters,,Open Windsurf Wave Championships
8,164024,PERU: 2 STAR Pacasmayo Classic,Results Published,10,2023-08-25,2023-04-09,Peru,2.0,315787,,315787,live heats,2023.0,Men,Men,Men,Pacasmayo Classic
9,72489,Australia: 2 STAR Margaret River Wavesailing Classic,Results Published,4,2023-01-26,,Australia,2.0,168257,,168257,live heats,2023.0,Men,Men,Men,Margaret River Wavesailing Classic
10,72489,Australia: 2 STAR Margaret River Wavesailing Classic,Results Published,4,2023-01-26,,Australia,2.0,168258,,168258,live heats,2023.0,Women,Women,Women,Margaret River Wavesailing Classic
11,72489,Australia: 2 STAR Margaret River Wavesailing Classic,Results Published,4,2023-01-26,,Australia,2.0,168259,,168259,live heats,2023.0,Junior Boys,Junior Boys,Men,Margaret River Wavesailing Classic
12,72489,Australia: 2 STAR Margaret River Wavesailing Classic,Results Published,4,2023-01-26,,Australia,2.0,168260,,168260,live heats,2023.0,Masters,Masters,,Margaret River Wavesailing Classic
13,72489,Australia: 2 STAR Margaret River Wavesailing Classic,Results Published,4,2023-01-26,,Australia,2.0,293484,,293484,live heats,2023.0,Junior Girls,Junior Girls,Women,Margaret River Wavesailing Classic
14,117331,SPAIN: 5 STAR Gran Canaria World Cup,Results Published,9,2023-07-01,2023-10-07,Spain,5.0,247055,,247055,live heats,2023.0,Junior Boys,Junior Boys,Men,Gran Canaria World Cup
15,117331,SPAIN: 5 STAR Gran Canaria World Cup,Results Published,9,2023-07-01,2023-10-07,Spain,5.0,247056,,247056,live heats,2023.0,Masters,Masters,,Gran Canaria World Cup
16,117331,SPAIN: 5 STAR Gran Canaria World Cup,Results Published,9,2023-07-01,2023-10-07,Spain,5.0,290080,,290080,live heats,2023.0,Junior Girls,Junior Girls,Women,Gran Canaria World Cup
17,117331,SPAIN: 5 STAR Gran Canaria World Cup,Results Published,9,2023-07-01,2023-10-07,Spain,5.0,293776,,293776,live heats,2023.0,U17 Boys,U17 Boys,Men,Gran Canaria World Cup
18,117331,SPAIN: 5 STAR Gran Canaria World Cup,Results Published,9,2023-07-01,2023-10-07,Spain,5.0,293777,,293777,live heats,2023.0,U15 Boys,U15 Boys,Men,Gran Canaria World Cup
19,117331,SPAIN: 5 STAR Gran Canaria World Cup,Results Published,9,2023-07-01,2023-10-07,Spain,5.0,293809,,293809,live heats,2023.0,U17 Girls,U17 Girls,Women,Gran Canaria World Cup
20,72452,FIJI.PRO: 5 STAR 2023 FIJI SURF PRO ,Results Published,11,2023-06-01,2023-12-06,Fiji.Pro,5.0,168196,,168196,live heats,2023.0,Men,Men,Men,FIJI SURF PRO
21,72452,FIJI.PRO: 5 STAR 2023 FIJI SURF PRO ,Results Published,11,2023-06-01,2023-12-06,Fiji.Pro,5.0,168197,,168197,live heats,2023.0,Women,Women,Women,FIJI SURF PRO
22,147528,DENMARK: 5 STAR PWA/IWT Cold Hawaii Youth World Tour Final,Results Published,7,2023-10-14,,Denmark,5.0,290163,,290163,live heats,2023.0,Junior Boys,Junior Boys,Men,PWA/IWT Cold Hawaii Youth World Tour Final
23,147528,DENMARK: 5 STAR PWA/IWT Cold Hawaii Youth World Tour Final,Results Published,7,2023-10-14,,Denmark,5.0,290164,,290164,live heats,2023.0,Junior Girls,Junior Girls,Women,PWA/IWT Cold Hawaii Youth World Tour Final
24,147528,DENMARK: 5 STAR PWA/IWT Cold Hawaii Youth World Tour Final,Results Published,7,2023-10-14,,Denmark,5.0,290165,,290165,live heats,2023.0,U17 Boys,U17 Boys,Men,PWA/IWT Cold Hawaii Youth World Tour Final
25,147528,DENMARK: 5 STAR PWA/IWT Cold Hawaii Youth World Tour Final,Results Published,7,2023-10-14,,Denmark,5.0,290166,,290166,live heats,2023.0,U15 Girls,U15 Girls,Women,PWA/IWT Cold Hawaii Youth World Tour Final
26,147528,DENMARK: 5 STAR PWA/IWT Cold Hawaii Youth World Tour Final,Results Published,7,2023-10-14,,Denmark,5.0,290167,,290167,live heats,2023.0,U13,U13,,PWA/IWT Cold Hawaii Youth World Tour Final
27,147528,DENMARK: 5 STAR PWA/IWT Cold Hawaii Youth World Tour Final,Results Published,7,2023-10-14,,Denmark,5.0,332984,,332984,live heats,2023.0,U15 Boys,U15 Boys,Men,PWA/IWT Cold Hawaii Youth World Tour Final
28,220586,Japan: 2 STAR Cold Breeze,Results Published,2,2023-12-22,,Japan,2.0,408814,,408814,live heats,2023.0,Men,Men,Men,Cold Breeze
29,220586,Japan: 2 STAR Cold Breeze,Results Published,2,2023-12-22,,Japan,2.0,408815,,408815,live heats,2023.0,Women,Women,Women,Cold Breeze
30,220586,Japan: 2 STAR Cold Breeze,Results Published,2,2023-12-22,,Japan,2.0,408816,,408816,live heats,2023.0,Masters,Masters,,Cold Breeze
31,220586,Japan: 2 STAR Cold Breeze,Results Published,2,2023-12-22,,Japan,2.0,408818,,408818,live heats,2023.0,Junior Girls,Junior Girls,Women,Cold Breeze
32,220586,Japan: 2 STAR Cold Breeze,Results Published,2,2023-12-22,,Japan,2.0,408817,,408817,live heats,2023.0,Junior Boys,Junior Boys,Men,Cold Breeze
33,164717,CHILE: 2 STAR SURAZO Infernal - Men,Results Published,9,2023-03-24,2023-02-04,Chile,2.0,315939,,315939,live heats,2023.0,Men,Men,Men,SURAZO Infernal - Men
34,187568,Morocco: Junior 100% Moulay Wave Classic,Results Published,8,2024-04-26,2024-04-05,Morocco,,353313,,353313,live heats,2024.0,Junior Girls,Junior Girls,Women,Junior 100% Moulay Wave Classic
35,187568,Morocco: Junior 100% Moulay Wave Classic,Results Published,8,2024-04-26,2024-04-05,Morocco,,353314,,353314,live heats,2024.0,Junior Boys,Junior Boys,Men,Junior 100% Moulay Wave Classic
36,187555,Taiwan: 1 STAR Taitung Wave Classic,Results Published,30,2023-10-31,,Taiwan,1.0,353252,,353252,live heats,2023.0,Women,Women,Women,Taitung Wave Classic
37,187555,Taiwan: 1 STAR Taitung Wave Classic,Results Published,30,2023-10-31,,Taiwan,1.0,353253,,353253,live heats,2023.0,Men,Men,Men,Taitung Wave Classic
38,187555,Taiwan: 1 STAR Taitung Wave Classic,Results Published,30,2023-10-31,,Taiwan,1.0,353254,,353254,live heats,2023.0,Masters,Masters,,Taitung Wave Classic
39,187555,Taiwan: 1 STAR Taitung Wave Classic,Results Published,30,2023-10-31,,Taiwan,1.0,353255,,353255,live heats,2023.0,Junior Girls,Junior Girls,Women,Taitung Wave Classic
40,187555,Taiwan: 1 STAR Taitung Wave Classic,Results Published,30,2023-10-31,,Taiwan,1.0,353256,,353256,live heats,2023.0,Junior Boys,Junior Boys,Men,Taitung Wave Classic
41,187556,Australia: 1 STAR Merimbula Classic,Results Published,4,2023-11-22,,Australia,1.0,353257,,353257,live heats,2023.0,Women,Women,Women,Merimbula Classic
42,187556,Australia: 1 STAR Merimbula Classic,Results Published,4,2023-11-22,,Australia,1.0,353258,,353258,live heats,2023.0,Men,Men,Men,Merimbula Classic
43,187556,Australia: 1 STAR Merimbula Classic,Results Published,4,2023-11-22,,Australia,1.0,353259,,353259,live heats,2023.0,Masters,Masters,,Merimbula Classic
44,187556,Australia: 1 STAR Merimbula Classic,Results Published,4,2023-11-22,,Australia,1.0,353260,,353260,live heats,2023.0,Junior Girls,Junior Girls,Women,Merimbula Classic
45,187556,Australia: 1 STAR Merimbula Classic,Results Published,4,2023-11-22,,Australia,1.0,353261,,353261,live heats,2023.0,Junior Boys,Junior Boys,Men,Merimbula Classic
46,187578,Wales: 2 STAR Rhosneigr Wave Classic 2024,Results Published,2,2024-09-20,,Wales,2.0,353358,,353358,live heats,2024.0,Men,Men,Men,Rhosneigr Wave Classic
47,187578,Wales: 2 STAR Rhosneigr Wave Classic 2024,Results Published,2,2024-09-20,,Wales,2.0,353359,,353359,live heats,2024.0,Women,Women,Women,Rhosneigr Wave Classic
48,187578,Wales: 2 STAR Rhosneigr Wave Classic 2024,Results Published,2,2024-09-20,,Wales,2.0,353360,,353360,live heats,2024.0,Junior Boys,Junior Boys,Men,Rhosneigr Wave Classic
49,187578,Wales: 2 STAR Rhosneigr Wave Classic 2024,Results Published,2,2024-09-20,,Wales,2.0,353361,,353361,live heats,2024.0,Masters,Masters,,Rhosneigr Wave Classic
50,187578,Wales: 2 STAR Rhosneigr Wave Classic 2024,Results Published,2,2024-09-20,,Wales,2.0,353362,,353362,live heats,2024.0,Junior Girls,Junior Girls,Women,Rhosneigr Wave Classic
