,source,event_id,division_id,athlete_id,place,incomplete,name
0,Live Heats,190953,363706,1169471,1,True,
1,Live Heats,190953,363706,1166233,1,True,
2,Live Heats,190953,363706,1181562,3,True,
3,Live Heats,190953,363706,1405412,3,True,
4,Live Heats,190953,363706,1163257,5,True,
5,Live Heats,190953,363706,1076663,5,True,
6,Live Heats,190953,363707,1076672,1,False,
7,Live Heats,190953,363707,903847,2,False,
8,Live Heats,190953,363707,1078967,3,False,
9,Live Heats,190953,363707,1076674,4,False,
10,Live Heats,190953,363708,597678,1,False,
11,Live Heats,190953,363708,1076613,2,False,
12,Live Heats,190953,363708,1076697,3,False,
13,Live Heats,147526,290156,923890,1,False,
14,Live Heats,147526,290156,923891,2,False,
15,Live Heats,147526,290156,1576025,3,False,
16,Live Heats,147526,290156,1576322,4,False,
17,Live Heats,147526,290156,530553,5,False,
18,Live Heats,147526,290156,923894,5,False,
19,Live Heats,147526,290156,923893,5,False,
20,Live Heats,147526,290156,923892,5,False,
21,Live Heats,147526,290156,530548,9,False,
22,Live Heats,147526,290156,923900,9,False,
23,Live Heats,147526,290156,923899,9,False,
24,Live Heats,147526,290156,923884,9,False,
25,Live Heats,147526,290156,923898,9,False,
26,Live Heats,147526,290156,923897,9,False,
27,Live Heats,147526,290156,923896,9,False,
28,Live Heats,147526,290156,923895,9,False,
29,Live Heats,147526,290156,923910,17,False,
30,Live Heats,147526,290156,923908,17,False,
31,Live Heats,147526,290156,923911,17,False,
32,Live Heats,147526,290156,923907,17,False,
33,Live Heats,147526,290156,923906,17,False,
34,Live Heats,147526,290156,923905,17,False,
35,Live Heats,147526,290156,923909,17,False,
36,Live Heats,147526,290156,1349792,17,False,
37,Live Heats,147526,290156,923883,17,False,
38,Live Heats,147526,290156,923902,17,False,
39,Live Heats,147526,290156,923882,17,False,
40,Live Heats,147526,290156,923901,17,False,
41,Live Heats,147526,290156,923887,17,False,
42,Live Heats,147526,290156,923904,17,False,
43,Live Heats,147526,290158,1576025,1,False,
44,Live Heats,147526,290158,1576322,2,False,
45,Live Heats,147526,290158,923882,3,False,
46,Live Heats,147526,290158,923883,4,False,
47,Live Heats,147526,290158,923888,5,False,
48,Live Heats,147526,290158,923886,5,False,
49,Live Heats,147526,290158,923887,5,False,
50,Live Heats,147526,290158,923884,5,False,
51,Live Heats,147526,290158,923889,9,False,
52,Live Heats,164024,315787,1202340,1,False,
53,Live Heats,164024,315787,1205619,2,False,
54,Live Heats,164024,315787,1199509,3,False,
55,Live Heats,164024,315787,791485,4,False,
56,Live Heats,164024,315787,999815,5,False,
57,Live Heats,164024,315787,1206477,5,False,
58,Live Heats,164024,315787,999813,7,False,
59,Live Heats,164024,315787,999817,7,False,
60,Live Heats,164024,315787,791455,9,False,
61,Live Heats,164024,315787,1197966,9,False,
62,Live Heats,164024,315787,1000711,11,False,
63,Live Heats,164024,315787,1557058,11,False,
64,Live Heats,164024,315787,566400,13,False,
65,Live Heats,72489,168257,776105,1,False,
66,Live Heats,72489,168257,776106,2,False,
67,Live Heats,72489,168257,776107,3,False,
68,Live Heats,72489,168257,776138,4,False,
69,Live Heats,72489,168257,776139,5,False,
70,Live Heats,72489,168257,776140,6,False,
71,Live Heats,72489,168258,1589294,1,False,
72,Live Heats,72489,168258,776171,2,False,
73,Live Heats,72489,168259,30676,1,False,
74,Live Heats,72489,168259,776006,2,False,
75,Live Heats,72489,168259,776172,3,False,
76,Live Heats,72489,168259,776173,4,False,
77,Live Heats,72489,168259,776171,5,False,
78,Live Heats,72489,168260,776174,1,False,
79,Live Heats,72489,168260,776175,2,False,
80,Live Heats,72489,168260,1306332,3,False,
81,Live Heats,72489,168260,776177,4,False,
82,Live Heats,72489,168260,776178,5,False,
83,Live Heats,117331,247053,527155,1,False,
84,Live Heats,117331,247053,1171826,2,False,
85,Live Heats,117331,247053,822932,3,False,
86,Live Heats,117331,247053,845736,4,False,
87,Live Heats,117331,247053,814748,5,False,
88,Live Heats,117331,247053,837486,6,False,
89,Live Heats,117331,247053,1198339,7,False,
90,Live Heats,117331,247053,923487,7,False,
91,Live Heats,117331,247053,820094,9,False,
92,Live Heats,117331,247053,1334796,9,False,
93,Live Heats,117331,247053,530552,9,False,
94,Live Heats,117331,247053,1578513,9,False,
95,Live Heats,117331,247053,818279,13,False,
96,Live Heats,117331,247053,819666,13,False,
97,Live Heats,117331,247053,1169354,13,False,
98,Live Heats,117331,247053,1411927,13,False,
99,Live Heats,117331,247053,818679,17,False,
100,Live Heats,117331,247053,843557,17,False,
101,Live Heats,117331,247053,1169635,17,False,
102,Live Heats,117331,247053,1200379,17,False,
103,Live Heats,117331,247053,1408086,17,False,
104,Live Heats,117331,247053,1409162,17,False,
105,Live Heats,117331,247053,1200835,17,False,
106,Live Heats,117331,247053,1200826,17,False,
107,Live Heats,117331,247053,817916,25,False,
108,Live Heats,117331,247053,835109,25,False,
109,Live Heats,117331,247053,1165941,25,False,
110,Live Heats,117331,247053,844750,25,False,
111,Live Heats,117331,247053,1392368,25,False,
112,Live Heats,117331,247053,530553,25,False,
113,Live Heats,117331,247053,923493,25,False,
114,Live Heats,117331,247053,923492,25,False,
115,Live Heats,117331,247053,923494,33,False,
116,Live Heats,117331,247053,1169471,33,False,
117,Live Heats,117331,247053,923485,33,False,
118,Live Heats,117331,247053,1166233,33,False,
119,Live Heats,117331,247053,817949,33,False,
120,Live Heats,117331,247053,1163257,33,False,
121,Live Heats,117331,247053,830095,33,False,
122,Live Heats,117331,247053,923495,33,False,
123,Live Heats,117331,247053,923497,33,False,
124,Live Heats,117331,247053,530548,33,False,
125,Live Heats,117331,247053,1181562,33,False,
126,Live Heats,117331,247053,923498,33,False,
127,Live Heats,117331,247053,1166082,33,False,
128,Live Heats,117331,247053,775151,33,False,
129,Live Heats,117331,247053,817982,33,False,
130,Live Heats,117331,247054,923330,1,False,
131,Live Heats,117331,247054,820127,2,False,
132,Live Heats,117331,247054,1210135,3,False,
133,Live Heats,117331,247054,923332,4,False,
134,Live Heats,117331,247054,1205034,5,False,
135,Live Heats,117331,247054,1207521,6,False,
136,Live Heats,117331,247054,815441,7,False,
137,Live Heats,117331,247054,923335,7,False,
138,Live Heats,117331,247054,1198918,9,False,
139,Live Heats,117331,247054,1205855,9,False,
140,Live Heats,117331,247054,820028,9,False,
141,Live Heats,117331,247054,1177773,9,False,
142,Live Heats,117331,247054,923339,13,False,
143,Live Heats,117331,247054,923341,13,False,
144,Live Heats,117331,247054,1203243,13,False,
145,Live Heats,117331,247054,923338,13,False,
146,Live Heats,117331,247054,923342,17,False,
147,Live Heats,117331,247055,1169635,1,False,
148,Live Heats,117331,247055,923450,2,False,
149,Live Heats,117331,247055,1576025,3,False,
150,Live Heats,117331,247055,844750,4,False,
151,Live Heats,117331,247055,1576322,5,False,
152,Live Heats,117331,247055,923485,6,False,
153,Live Heats,117331,247055,775151,7,False,
154,Live Heats,117331,247055,1176481,7,False,
155,Live Heats,117331,247055,1585991,9,False,
156,Live Heats,117331,247055,1076613,9,False,
157,Live Heats,117331,247055,1076612,9,False,
158,Live Heats,117331,247055,923495,9,False,
159,Live Heats,117331,247055,1198581,13,False,
160,Live Heats,117331,247055,1076615,13,False,
161,Live Heats,117331,247055,1076618,13,False,
162,Live Heats,117331,247055,923883,13,False,
163,Live Heats,117331,247055,1076619,17,False,
164,Live Heats,117331,247055,1076620,17,False,
165,Live Heats,117331,247056,923345,1,False,
166,Live Heats,117331,247056,923350,2,False,
167,Live Heats,117331,247056,1205039,3,False,
168,Live Heats,117331,247056,923348,4,False,
