,source,event_id,heat_id,division_id,athlete_id,result_total,win_by,needs,place,round,round_position,heat_id_athlete_id
0,Live Heats,190953,2021400,363706,1169471,1.0,,,1.0,Final,0.0,2021400_1169471
1,Live Heats,190953,2021400,363706,1166233,1.0,,,1.0,Final,0.0,2021400_1166233
2,Live Heats,190953,2021400,363706,1181562,3.0,,,3.0,Final,0.0,2021400_1181562
3,Live Heats,190953,2021400,363706,1405412,3.0,,,3.0,Final,0.0,2021400_1405412
4,Live Heats,190953,2021400,363706,1163257,5.0,,,5.0,Final,0.0,2021400_1163257
5,Live Heats,190953,2021400,363706,1076663,5.0,,,5.0,Final,0.0,2021400_1076663
6,Live Heats,190953,2021401,363707,1076672,1.0,,,1.0,Final,0.0,2021401_1076672
7,Live Heats,190953,2021401,363707,903847,2.0,,,2.0,Final,0.0,2021401_903847
8,Live Heats,190953,2021401,363707,1078967,3.0,,,3.0,Final,0.0,2021401_1078967
9,Live Heats,190953,2021401,363707,1076674,4.0,,,4.0,Final,0.0,2021401_1076674
10,Live Heats,190953,2021402,363708,597678,1.0,,,1.0,Final,0.0,2021402_597678
11,Live Heats,190953,2021402,363708,1076613,2.0,,,2.0,Final,0.0,2021402_1076613
12,Live Heats,190953,2021402,363708,1076697,3.0,,,3.0,Final,0.0,2021402_1076697
13,Live Heats,147526,1764576,290156,923890,1.0,,,1.0,Final,0.0,1764576_923890
14,Live Heats,147526,1764576,290156,923891,2.0,,,2.0,Final,0.0,1764576_923891
15,Live Heats,147526,1764576,290156,1576025,3.0,,,3.0,Final,0.0,1764576_1576025
16,Live Heats,147526,1764576,290156,1576322,4.0,,,4.0,Final,0.0,1764576_1576322
17,Live Heats,147526,1764576,290156,530553,5.0,,,5.0,Final,0.0,1764576_530553
18,Live Heats,147526,1764576,290156,923894,5.0,,,5.0,Final,0.0,1764576_923894
19,Live Heats,147526,1764576,290156,923893,5.0,,,5.0,Final,0.0,1764576_923893
20,Live Heats,147526,1764576,290156,923892,5.0,,,5.0,Final,0.0,1764576_923892
21,Live Heats,147526,1764576,290156,530548,9.0,,,9.0,Final,0.0,1764576_530548
22,Live Heats,147526,1764576,290156,923900,9.0,,,9.0,Final,0.0,1764576_923900
23,Live Heats,147526,1764576,290156,923899,9.0,,,9.0,Final,0.0,1764576_923899
24,Live Heats,147526,1764576,290156,923884,9.0,,,9.0,Final,0.0,1764576_923884
25,Live Heats,147526,1764576,290156,923898,9.0,,,9.0,Final,0.0,1764576_923898
26,Live Heats,147526,1764576,290156,923897,9.0,,,9.0,Final,0.0,1764576_923897
27,Live Heats,147526,1764576,290156,923896,9.0,,,9.0,Final,0.0,1764576_923896
28,Live Heats,147526,1764576,290156,923895,9.0,,,9.0,Final,0.0,1764576_923895
29,Live Heats,147526,1764576,290156,923910,17.0,,,17.0,Final,0.0,1764576_923910
30,Live Heats,147526,1764576,290156,923908,17.0,,,17.0,Final,0.0,1764576_923908
