event_id,event_name,results_status,day_window,start_date,finish_date,location,stars,division_id,division_name,sex,event_link,source,elimination_name,elimination_id,standard_event_name,year
190953,HAWAII: 2 STAR Challengers - Maui Strong Aloha Classic Grand Final,Results Published,12,2023-10-22,2023-11-03,Hawaii,2,363706,Men,Men,https://liveheats.com/events/190953,live heats,Men,363706,Challengers - Maui Strong Aloha Classic Grand Final,2023
190953,HAWAII: 2 STAR Challengers - Maui Strong Aloha Classic Grand Final,Results Published,12,2023-10-22,2023-11-03,Hawaii,2,363707,Women,Women,https://liveheats.com/events/190953,live heats,Women,363707,Challengers - Maui Strong Aloha Classic Grand Final,2023
190953,HAWAII: 2 STAR Challengers - Maui Strong Aloha Classic Grand Final,Results Published,12,2023-10-22,2023-11-03,Hawaii,2,363708,U20 Boys,Men,https://liveheats.com/events/190953,live heats,U20 Boys,363708,Challengers - Maui Strong Aloha Classic Grand Final,2023
147526,Denmark: 2 STAR Open Windsurf Wave Championships,Results Published,2,2023-06-10,2023-06-12,Denmark,2,290156,Men,Men,https://liveheats.com/events/147526,live heats,Men,290156,Open Windsurf Wave Championships,2023
147526,Denmark: 2 STAR Open Windsurf Wave Championships,Results Published,2,2023-06-10,2023-06-12,Denmark,2,290157,Women,Women,https://liveheats.com/events/147526,live heats,Women,290157,Open Windsurf Wave Championships,2023
147526,Denmark: 2 STAR Open Windsurf Wave Championships,Results Published,2,2023-06-10,2023-06-12,Denmark,2,290158,Junior Boys,Men,https://liveheats.com/events/147526,live heats,Junior Boys,290158,Open Windsurf Wave Championships,2023
147526,Denmark: 2 STAR Open Windsurf Wave Championships,Results Published,2,2023-06-10,2023-06-12,Denmark,2,290159,Junior Girls,Women,https://liveheats.com/events/147526,live heats,Junior Girls,290159,Open Windsurf Wave Championships,2023
147526,Denmark: 2 STAR Open Windsurf Wave Championships,Results Published,2,2023-06-10,2023-06-12,Denmark,2,290160,Masters,,https://liveheats.com/events/147526,live heats,Masters,290160,Open Windsurf Wave Championships,2023
164024,PERU: 2 STAR Pacasmayo Classic,Results Published,10,2023-08-25,2023-09-04,Peru,2,315787,Men,Men,https://liveheats.com/events/164024,live heats,Men,315787,Pacasmayo Classic,2023
72489,Australia: 2 STAR Margaret River Wavesailing Classic,Results Published,4,2023-01-26,2023-01-30,Australia,2,168257,Men,Men,https://liveheats.com/events/72489,live heats,Men,168257,Margaret River Wavesailing Classic,2023
72489,Australia: 2 STAR Margaret River Wavesailing Classic,Results Published,4,2023-01-26,2023-01-30,Australia,2,168258,Women,Women,https://liveheats.com/events/72489,live heats,Women,168258,Margaret River Wavesailing Classic,2023
72489,Australia: 2 STAR Margaret River Wavesailing Classic,Results Published,4,2023-01-26,2023-01-30,Australia,2,168259,Junior Boys,Men,https://liveheats.com/events/72489,live heats,Junior Boys,168259,Margaret River Wavesailing Classic,2023
72489,Australia: 2 STAR Margaret River Wavesailing Classic,Results Published,4,2023-01-26,2023-01-30,Australia,2,168260,Masters,,https://liveheats.com/events/72489,live heats,Masters,168260,Margaret River Wavesailing Classic,2023
72489,Australia: 2 STAR Margaret River Wavesailing Classic,Results Published,4,2023-01-26,2023-01-30,Australia,2,293484,Junior Girls,Women,https://liveheats.com/events/72489,live heats,Junior Girls,293484,Margaret River Wavesailing Classic,2023
117331,SPAIN: 5 STAR Gran Canaria World Cup,Results Published,9,2023-07-01,2023-07-10,Spain,5,247053,Men,Men,https://liveheats.com/events/117331,live heats,Men,247053,Gran Canaria World Cup,2023
117331,SPAIN: 5 STAR Gran Canaria World Cup,Results Published,9,2023-07-01,2023-07-10,Spain,5,247054,Women,Women,https://liveheats.com/events/117331,live heats,Women,247054,Gran Canaria World Cup,2023
117331,SPAIN: 5 STAR Gran Canaria World Cup,Results Published,9,2023-07-01,2023-07-10,Spain,5,247055,Junior Boys,Men,https://liveheats.com/events/117331,live heats,Junior Boys,247055,Gran Canaria World Cup,2023
117331,SPAIN: 5 STAR Gran Canaria World Cup,Results Published,9,2023-07-01,2023-07-10,Spain,5,247056,Masters,,https://liveheats.com/events/117331,live heats,Masters,247056,Gran Canaria World Cup,2023
117331,SPAIN: 5 STAR Gran Canaria World Cup,Results Published,9,2023-07-01,2023-07-10,Spain,5,290080,Junior Girls,Women,https://liveheats.com/events/117331,live heats,Junior Girls,290080,Gran Canaria World Cup,2023
117331,SPAIN: 5 STAR Gran Canaria World Cup,Results Published,9,2023-07-01,2023-07-10,Spain,5,293776,U17 Boys,Men,https://liveheats.com/events/117331,live heats,U17 Boys,293776,Gran Canaria World Cup,2023
117331,SPAIN: 5 STAR Gran Canaria World Cup,Results Published,9,2023-07-01,2023-07-10,Spain,5,293777,U15 Boys,Men,https://liveheats.com/events/117331,live heats,U15 Boys,293777,Gran Canaria World Cup,2023
117331,SPAIN: 5 STAR Gran Canaria World Cup,Results Published,9,2023-07-01,2023-07-10,Spain,5,293809,U17 Girls,Women,https://liveheats.com/events/117331,live heats,U17 Girls,293809,Gran Canaria World Cup,2023
72452,FIJI.PRO: 5 STAR 2023 FIJI SURF PRO ,Results Published,11,2023-06-01,2023-06-12,Fiji.Pro,5,168196,Men,Men,https://liveheats.com/events/72452,live heats,Men,168196,FIJI SURF PRO,2023
72452,FIJI.PRO: 5 STAR 2023 FIJI SURF PRO ,Results Published,11,2023-06-01,2023-06-12,Fiji.Pro,5,168197,Women,Women,https://liveheats.com/events/72452,live heats,Women,168197,FIJI SURF PRO,2023
147528,DENMARK: 5 STAR PWA/IWT Cold Hawaii Youth World Tour Final,Results Published,7,2023-10-14,2023-10-21,Denmark,5,290163,Junior Boys,Men,https://liveheats.com/events/147528,live heats,Junior Boys,290163,PWA/IWT Cold Hawaii Youth World Tour Final,2023
147528,DENMARK: 5 STAR PWA/IWT Cold Hawaii Youth World Tour Final,Results Published,7,2023-10-14,2023-10-21,Denmark,5,290164,Junior Girls,Women,https://liveheats.com/events/147528,live heats,Junior Girls,290164,PWA/IWT Cold Hawaii Youth World Tour Final,2023
147528,DENMARK: 5 STAR PWA/IWT Cold Hawaii Youth World Tour Final,Results Published,7,2023-10-14,2023-10-21,Denmark,5,290165,U17 Boys,Men,https://liveheats.com/events/147528,live heats,U17 Boys,290165,PWA/IWT Cold Hawaii Youth World Tour Final,2023
147528,DENMARK: 5 STAR PWA/IWT Cold Hawaii Youth World Tour Final,Results Published,7,2023-10-14,2023-10-21,Denmark,5,290166,U15 Girls,Women,https://liveheats.com/events/147528,live heats,U15 Girls,290166,PWA/IWT Cold Hawaii Youth World Tour Final,2023
147528,DENMARK: 5 STAR PWA/IWT Cold Hawaii Youth World Tour Final,Results Published,7,2023-10-14,2023-10-21,Denmark,5,290167,U13,,https://liveheats.com/events/147528,live heats,U13,290167,PWA/IWT Cold Hawaii Youth World Tour Final,2023
147528,DENMARK: 5 STAR PWA/IWT Cold Hawaii Youth World Tour Final,Results Published,7,2023-10-14,2023-10-21,Denmark,5,332984,U15 Boys,Men,https://liveheats.com/events/147528,live heats,U15 Boys,332984,PWA/IWT Cold Hawaii Youth World Tour Final,2023
220586,Japan: 2 STAR Cold Breeze,Results Published,2,2023-12-22,2023-12-24,Japan,2,408814,Men,Men,https://liveheats.com/events/220586,live heats,Men,408814,Cold Breeze,2023
220586,Japan: 2 STAR Cold Breeze,Results Published,2,2023-12-22,2023-12-24,Japan,2,408815,Women,Women,https://liveheats.com/events/220586,live heats,Women,408815,Cold Breeze,2023
220586,Japan: 2 STAR Cold Breeze,Results Published,2,2023-12-22,2023-12-24,Japan,2,408816,Masters,,https://liveheats.com/events/220586,live heats,Masters,408816,Cold Breeze,2023
220586,Japan: 2 STAR Cold Breeze,Results Published,2,2023-12-22,2023-12-24,Japan,2,408818,Junior Girls,Women,https://liveheats.com/events/220586,live heats,Junior Girls,408818,Cold Breeze,2023
220586,Japan: 2 STAR Cold Breeze,Results Published,2,2023-12-22,2023-12-24,Japan,2,408817,Junior Boys,Men,https://liveheats.com/events/220586,live heats,Junior Boys,408817,Cold Breeze,2023
164717,CHILE: 2 STAR SURAZO Infernal - Men,Results Published,9,2023-03-24,2023-04-02,Chile,2,315939,Men,Men,https://liveheats.com/events/164717,live heats,Men,315939,SURAZO Infernal - Men,2023
187568,Morocco: Junior 100% Moulay Wave Classic,Results Published,8,2024-04-26,2024-05-04,Morocco,,353313,Junior Girls,Women,https://liveheats.com/events/187568,live heats,Junior Girls,353313,Junior 100% Moulay Wave Classic,2024
187568,Morocco: Junior 100% Moulay Wave Classic,Results Published,8,2024-04-26,2024-05-04,Morocco,,353314,Junior Boys,Men,https://liveheats.com/events/187568,live heats,Junior Boys,353314,Junior 100% Moulay Wave Classic,2024
187555,Taiwan: 1 STAR Taitung Wave Classic,Results Published,30,2023-10-31,2023-11-30,Taiwan,1,353252,Women,Women,https://liveheats.com/events/187555,live heats,Women,353252,Taitung Wave Classic,2023
187555,Taiwan: 1 STAR Taitung Wave Classic,Results Published,30,2023-10-31,2023-11-30,Taiwan,1,353253,Men,Men,https://liveheats.com/events/187555,live heats,Men,353253,Taitung Wave Classic,2023
187555,Taiwan: 1 STAR Taitung Wave Classic,Results Published,30,2023-10-31,2023-11-30,Taiwan,1,353254,Masters,,https://liveheats.com/events/187555,live heats,Masters,353254,Taitung Wave Classic,2023
187555,Taiwan: 1 STAR Taitung Wave Classic,Results Published,30,2023-10-31,2023-11-30,Taiwan,1,353255,Junior Girls,Women,https://liveheats.com/events/187555,live heats,Junior Girls,353255,Taitung Wave Classic,2023
187555,Taiwan: 1 STAR Taitung Wave Classic,Results Published,30,2023-10-31,2023-11-30,Taiwan,1,353256,Junior Boys,Men,https://liveheats.com/events/187555,live heats,Junior Boys,353256,Taitung Wave Classic,2023
187556,Australia: 1 STAR Merimbula Classic,Results Published,4,2023-11-22,2023-11-26,Australia,1,353257,Women,Women,https://liveheats.com/events/187556,live heats,Women,353257,Merimbula Classic,2023
187556,Australia: 1 STAR Merimbula Classic,Results Published,4,2023-11-22,2023-11-26,Australia,1,353258,Men,Men,https://liveheats.com/events/187556,live heats,Men,353258,Merimbula Classic,2023
187556,Australia: 1 STAR Merimbula Classic,Results Published,4,2023-11-22,2023-11-26,Australia,1,353259,Masters,,https://liveheats.com/events/187556,live heats,Masters,353259,Merimbula Classic,2023
187556,Australia: 1 STAR Merimbula Classic,Results Published,4,2023-11-22,2023-11-26,Australia,1,353260,Junior Girls,Women,https://liveheats.com/events/187556,live heats,Junior Girls,353260,Merimbula Classic,2023
187556,Australia: 1 STAR Merimbula Classic,Results Published,4,2023-11-22,2023-11-26,Australia,1,353261,Junior Boys,Men,https://liveheats.com/events/187556,live heats,Junior Boys,353261,Merimbula Classic,2023
187578,Wales: 2 STAR Rhosneigr Wave Classic 2024,Results Published,2,2024-09-20,2024-09-22,Wales,2,353358,Men,Men,https://liveheats.com/events/187578,live heats,Men,353358,Rhosneigr Wave Classic,2024
187578,Wales: 2 STAR Rhosneigr Wave Classic 2024,Results Published,2,2024-09-20,2024-09-22,Wales,2,353359,Women,Women,https://liveheats.com/events/187578,live heats,Women,353359,Rhosneigr Wave Classic,2024
187578,Wales: 2 STAR Rhosneigr Wave Classic 2024,Results Published,2,2024-09-20,2024-09-22,Wales,2,353360,Junior Boys,Men,https://liveheats.com/events/187578,live heats,Junior Boys,353360,Rhosneigr Wave Classic,2024
187578,Wales: 2 STAR Rhosneigr Wave Classic 2024,Results Published,2,2024-09-20,2024-09-22,Wales,2,353361,Masters,,https://liveheats.com/events/187578,live heats,Masters,353361,Rhosneigr Wave Classic,2024
187578,Wales: 2 STAR Rhosneigr Wave Classic 2024,Results Published,2,2024-09-20,2024-09-22,Wales,2,353362,Junior Girls,Women,https://liveheats.com/events/187578,live heats,Junior Girls,353362,Rhosneigr Wave Classic,2024
187558,Australia: YOUTH 100% Jaffle Shack Oceania Youth Wave Titles and Junior Windsurf Camp,Results Published,6,2024-01-15,2024-01-21,Australia,,353267,Junior Girls,Women,https://liveheats.com/events/187558,live heats,Junior Girls,353267,YOUTH 100% Jaffle Shack Oceania Youth Wave Titles and Junior Windsurf Camp,2024
187558,Australia: YOUTH 100% Jaffle Shack Oceania Youth Wave Titles and Junior Windsurf Camp,Results Published,6,2024-01-15,2024-01-21,Australia,,353268,Junior Boys,Men,https://liveheats.com/events/187558,live heats,Junior Boys,353268,YOUTH 100% Jaffle Shack Oceania Youth Wave Titles and Junior Windsurf Camp,2024
187558,Australia: YOUTH 100% Jaffle Shack Oceania Youth Wave Titles and Junior Windsurf Camp,Results Published,6,2024-01-15,2024-01-21,Australia,,353271,U15 Girls,Women,https://liveheats.com/events/187558,live heats,U15 Girls,353271,YOUTH 100% Jaffle Shack Oceania Youth Wave Titles and Junior Windsurf Camp,2024
187558,Australia: YOUTH 100% Jaffle Shack Oceania Youth Wave Titles and Junior Windsurf Camp,Results Published,6,2024-01-15,2024-01-21,Australia,,353272,U15 Boys,Men,https://liveheats.com/events/187558,live heats,U15 Boys,353272,YOUTH 100% Jaffle Shack Oceania Youth Wave Titles and Junior Windsurf Camp,2024
187558,Australia: YOUTH 100% Jaffle Shack Oceania Youth Wave Titles and Junior Windsurf Camp,Results Published,6,2024-01-15,2024-01-21,Australia,,353273,U13,,https://liveheats.com/events/187558,live heats,U13,353273,YOUTH 100% Jaffle Shack Oceania Youth Wave Titles and Junior Windsurf Camp,2024
187558,Australia: YOUTH 100% Jaffle Shack Oceania Youth Wave Titles and Junior Windsurf Camp,Results Published,6,2024-01-15,2024-01-21,Australia,,388585,Pro Junior GIrls,Women,https://liveheats.com/events/187558,live heats,Pro Junior GIrls,388585,YOUTH 100% Jaffle Shack Oceania Youth Wave Titles and Junior Windsurf Camp,2024
187558,Australia: YOUTH 100% Jaffle Shack Oceania Youth Wave Titles and Junior Windsurf Camp,Results Published,6,2024-01-15,2024-01-21,Australia,,388586,Pro Junior Boys,Men,https://liveheats.com/events/187558,live heats,Pro Junior Boys,388586,YOUTH 100% Jaffle Shack Oceania Youth Wave Titles and Junior Windsurf Camp,2024
249495,AFRICA: 3 STAR REGIONAL FINAL Moulay Wave Classic,Results Published,8,2024-04-26,2024-05-04,Africa,3,441634,Men,Men,https://liveheats.com/events/249495,live heats,Men,441634,REGIONAL FINAL Moulay Wave Classic,2024
187564,SPAIN: 5 STAR Gran Canaria World Cup,Results Published,10,2024-06-27,2024-07-07,Spain,5,353299,Women,Women,https://liveheats.com/events/187564,live heats,Women,353299,Gran Canaria World Cup,2024
187564,SPAIN: 5 STAR Gran Canaria World Cup,Results Published,10,2024-06-27,2024-07-07,Spain,5,353300,Men,Men,https://liveheats.com/events/187564,live heats,Men,353300,Gran Canaria World Cup,2024
187564,SPAIN: 5 STAR Gran Canaria World Cup,Results Published,10,2024-06-27,2024-07-07,Spain,5,353301,Masters,,https://liveheats.com/events/187564,live heats,Masters,353301,Gran Canaria World Cup,2024
187564,SPAIN: 5 STAR Gran Canaria World Cup,Results Published,10,2024-06-27,2024-07-07,Spain,5,353302,Junior Girls,Women,https://liveheats.com/events/187564,live heats,Junior Girls,353302,Gran Canaria World Cup,2024
187564,SPAIN: 5 STAR Gran Canaria World Cup,Results Published,10,2024-06-27,2024-07-07,Spain,5,353303,Junior Boys,Men,https://liveheats.com/events/187564,live heats,Junior Boys,353303,Gran Canaria World Cup,2024
187564,SPAIN: 5 STAR Gran Canaria World Cup,Results Published,10,2024-06-27,2024-07-07,Spain,5,454486,Pro Junior GIrls,Women,https://liveheats.com/events/187564,live heats,Pro Junior GIrls,454486,Gran Canaria World Cup,2024
187564,SPAIN: 5 STAR Gran Canaria World Cup,Results Published,10,2024-06-27,2024-07-07,Spain,5,454487,Pro Junior Boys,Men,https://liveheats.com/events/187564,live heats,Pro Junior Boys,454487,Gran Canaria World Cup,2024
270680,PERU: 100% Masters Juniors Peru World Cup,Results Published,15,2024-08-03,2024-08-18,Peru,,471646,Masters,,https://liveheats.com/events/270680,live heats,Masters,471646,100% Masters Juniors Peru World Cup,2024
270680,PERU: 100% Masters Juniors Peru World Cup,Results Published,15,2024-08-03,2024-08-18,Peru,,471647,Junior Girls,Women,https://liveheats.com/events/270680,live heats,Junior Girls,471647,100% Masters Juniors Peru World Cup,2024
270680,PERU: 100% Masters Juniors Peru World Cup,Results Published,15,2024-08-03,2024-08-18,Peru,,471648,Junior Boys,Men,https://liveheats.com/events/270680,live heats,Junior Boys,471648,100% Masters Juniors Peru World Cup,2024
270680,PERU: 100% Masters Juniors Peru World Cup,Results Published,15,2024-08-03,2024-08-18,Peru,,471649,Pro Junior GIrls,Women,https://liveheats.com/events/270680,live heats,Pro Junior GIrls,471649,100% Masters Juniors Peru World Cup,2024
270680,PERU: 100% Masters Juniors Peru World Cup,Results Published,15,2024-08-03,2024-08-18,Peru,,471650,Pro Junior Boys,Men,https://liveheats.com/events/270680,live heats,Pro Junior Boys,471650,100% Masters Juniors Peru World Cup,2024
270680,PERU: 100% Masters Juniors Peru World Cup,Results Published,15,2024-08-03,2024-08-18,Peru,,471656,OPEN,,https://liveheats.com/events/270680,live heats,OPEN,471656,100% Masters Juniors Peru World Cup,2024
270680,PERU: 100% Masters Juniors Peru World Cup,Results Published,15,2024-08-03,2024-08-18,Peru,,471657,Grand Masters,,https://liveheats.com/events/270680,live heats,Grand Masters,471657,100% Masters Juniors Peru World Cup,2024
285332,France: 2 STAR French Windsurf Championship at Pole Nautique Hague,Results Published,23,2024-11-23,2024-12-16,France,2,492502,Men,Men,https://liveheats.com/events/285332,live heats,Men,492502,French Windsurf Championship at Pole Nautique Hague,2024
285332,France: 2 STAR French Windsurf Championship at Pole Nautique Hague,Results Published,23,2024-11-23,2024-12-16,France,2,492503,Women,Women,https://liveheats.com/events/285332,live heats,Women,492503,French Windsurf Championship at Pole Nautique Hague,2024
285332,France: 2 STAR French Windsurf Championship at Pole Nautique Hague,Results Published,23,2024-11-23,2024-12-16,France,2,492504,Junior Girls,Women,https://liveheats.com/events/285332,live heats,Junior Girls,492504,French Windsurf Championship at Pole Nautique Hague,2024
285332,France: 2 STAR French Windsurf Championship at Pole Nautique Hague,Results Published,23,2024-11-23,2024-12-16,France,2,492505,Junior Boys,Men,https://liveheats.com/events/285332,live heats,Junior Boys,492505,French Windsurf Championship at Pole Nautique Hague,2024
285332,France: 2 STAR French Windsurf Championship at Pole Nautique Hague,Results Published,23,2024-11-23,2024-12-16,France,2,492506,Masters,,https://liveheats.com/events/285332,live heats,Masters,492506,French Windsurf Championship at Pole Nautique Hague,2024
147529,Scotland: 2 STAR Tiree Wave Classic,Results Published,7,2023-10-14,2023-10-21,Scotland,2,290168,Men,Men,https://liveheats.com/events/147529,live heats,Men,290168,Tiree Wave Classic,2023
147529,Scotland: 2 STAR Tiree Wave Classic,Results Published,7,2023-10-14,2023-10-21,Scotland,2,290169,Women,Women,https://liveheats.com/events/147529,live heats,Women,290169,Tiree Wave Classic,2023
147529,Scotland: 2 STAR Tiree Wave Classic,Results Published,7,2023-10-14,2023-10-21,Scotland,2,290170,Junior Boys,Men,https://liveheats.com/events/147529,live heats,Junior Boys,290170,Tiree Wave Classic,2023
147529,Scotland: 2 STAR Tiree Wave Classic,Results Published,7,2023-10-14,2023-10-21,Scotland,2,290171,Masters,,https://liveheats.com/events/147529,live heats,Masters,290171,Tiree Wave Classic,2023
181652,HAWAII: 5 STAR Maui Strong Aloha Classic Grand Final,Results Published,13,2023-10-22,2023-11-04,Hawaii,5,343314,Men,Men,https://liveheats.com/events/181652,live heats,Men,343314,Maui Strong Aloha Classic Grand Final,2023
181652,HAWAII: 5 STAR Maui Strong Aloha Classic Grand Final,Results Published,13,2023-10-22,2023-11-04,Hawaii,5,343315,Women,Women,https://liveheats.com/events/181652,live heats,Women,343315,Maui Strong Aloha Classic Grand Final,2023
181652,HAWAII: 5 STAR Maui Strong Aloha Classic Grand Final,Results Published,13,2023-10-22,2023-11-04,Hawaii,5,343317,Masters,,https://liveheats.com/events/181652,live heats,Masters,343317,Maui Strong Aloha Classic Grand Final,2023
147592,Australia: 2 STAR North Windsurfing East Coast Titles. Sydney,Results Published,3,2024-02-02,2024-02-05,Australia,2,290222,Men,Men,https://liveheats.com/events/147592,live heats,Men,290222,North Windsurfing East Coast Titles. Sydney,2024
147592,Australia: 2 STAR North Windsurfing East Coast Titles. Sydney,Results Published,3,2024-02-02,2024-02-05,Australia,2,290223,Women,Women,https://liveheats.com/events/147592,live heats,Women,290223,North Windsurfing East Coast Titles. Sydney,2024
147592,Australia: 2 STAR North Windsurfing East Coast Titles. Sydney,Results Published,3,2024-02-02,2024-02-05,Australia,2,290225,Masters,,https://liveheats.com/events/147592,live heats,Masters,290225,North Windsurfing East Coast Titles. Sydney,2024
