source,event_id,division_id,athlete_id,place,incomplete
Live Heats,190953,363706,1169471,1,True
Live Heats,190953,363706,1166233,1,True
Live Heats,190953,363706,1181562,3,True
Live Heats,190953,363706,1405412,3,True
Live Heats,190953,363706,1163257,5,True
Live Heats,190953,363706,1076663,5,True
Live Heats,190953,363707,1076672,1,False
Live Heats,190953,363707,903847,2,False
Live Heats,190953,363707,1078967,3,False
Live Heats,190953,363707,1076674,4,False
Live Heats,190953,363708,597678,1,False
Live Heats,190953,363708,1076613,2,False
Live Heats,190953,363708,1076697,3,False
Live Heats,147526,290156,923890,1,False
Live Heats,147526,290156,923891,2,False
Live Heats,147526,290156,1576025,3,False
Live Heats,147526,290156,1576322,4,False
Live Heats,147526,290156,530553,5,False
Live Heats,147526,290156,923894,5,False
Live Heats,147526,290156,923893,5,False
Live Heats,147526,290156,923892,5,False
Live Heats,147526,290156,530548,9,False
Live Heats,147526,290156,923900,9,False
Live Heats,147526,290156,923899,9,False
Live Heats,147526,290156,923884,9,False
Live Heats,147526,290156,923898,9,False
Live Heats,147526,290156,923897,9,False
Live Heats,147526,290156,923896,9,False
Live Heats,147526,290156,923895,9,False
Live Heats,147526,290156,923910,17,False
Live Heats,147526,290156,923908,17,False
Live Heats,147526,290156,923911,17,False
Live Heats,147526,290156,923907,17,False
Live Heats,147526,290156,923906,17,False
Live Heats,147526,290156,923905,17,False
Live Heats,147526,290156,923909,17,False
Live Heats,147526,290156,1349792,17,False
Live Heats,147526,290156,923883,17,False
Live Heats,147526,290156,923902,17,False
Live Heats,147526,290156,923882,17,False
Live Heats,147526,290156,923901,17,False
Live Heats,147526,290156,923887,17,False
Live Heats,147526,290156,923904,17,False
Live Heats,147526,290158,1576025,1,False
Live Heats,147526,290158,1576322,2,False
Live Heats,147526,290158,923882,3,False
Live Heats,147526,290158,923883,4,False
Live Heats,147526,290158,923888,5,False
Live Heats,147526,290158,923886,5,False
Live Heats,147526,290158,923887,5,False
Live Heats,147526,290158,923884,5,False
Live Heats,147526,290158,923889,9,False
Live Heats,164024,315787,1202340,1,False
Live Heats,164024,315787,1205619,2,False
Live Heats,164024,315787,1199509,3,False
Live Heats,164024,315787,791485,4,False
Live Heats,164024,315787,999815,5,False
Live Heats,164024,315787,1206477,5,False
Live Heats,164024,315787,999813,7,False
Live Heats,164024,315787,999817,7,False
Live Heats,164024,315787,791455,9,False
Live Heats,164024,315787,1197966,9,False
Live Heats,164024,315787,1000711,11,False
Live Heats,164024,315787,1557058,11,False
Live Heats,164024,315787,566400,13,False
Live Heats,72489,168257,776105,1,False
Live Heats,72489,168257,776106,2,False
Live Heats,72489,168257,776107,3,False
Live Heats,72489,168257,776138,4,False
Live Heats,72489,168257,776139,5,False
Live Heats,72489,168257,776140,6,False
Live Heats,72489,168258,1589294,1,False
Live Heats,72489,168258,776171,2,False
Live Heats,72489,168259,30676,1,False
Live Heats,72489,168259,776006,2,False
Live Heats,72489,168259,776172,3,False
Live Heats,72489,168259,776173,4,False
Live Heats,72489,168259,776171,5,False
Live Heats,72489,168260,776174,1,False
Live Heats,72489,168260,776175,2,False
Live Heats,72489,168260,1306332,3,False
Live Heats,72489,168260,776177,4,False
Live Heats,72489,168260,776178,5,False
Live Heats,117331,247053,527155,1,False
Live Heats,117331,247053,1171826,2,False
Live Heats,117331,247053,822932,3,False
Live Heats,117331,247053,845736,4,False
Live Heats,117331,247053,814748,5,False
Live Heats,117331,247053,837486,6,False
Live Heats,117331,247053,1198339,7,False
Live Heats,117331,247053,923487,7,False
Live Heats,117331,247053,820094,9,False
Live Heats,117331,247053,1334796,9,False
Live Heats,117331,247053,530552,9,False
Live Heats,117331,247053,1578513,9,False
Live Heats,117331,247053,818279,13,False
Live Heats,117331,247053,819666,13,False
Live Heats,117331,247053,1169354,13,False
Live Heats,117331,247053,1411927,13,False
Live Heats,117331,247053,818679,17,False
Live Heats,117331,247053,843557,17,False
Live Heats,117331,247053,1169635,17,False
Live Heats,117331,247053,1200379,17,False
Live Heats,117331,247053,1408086,17,False
Live Heats,117331,247053,1409162,17,False
Live Heats,117331,247053,1200835,17,False
Live Heats,117331,247053,1200826,17,False
Live Heats,117331,247053,817916,25,False
Live Heats,117331,247053,835109,25,False
Live Heats,117331,247053,1165941,25,False
Live Heats,117331,247053,844750,25,False
Live Heats,117331,247053,1392368,25,False
Live Heats,117331,247053,530553,25,False
Live Heats,117331,247053,923493,25,False
Live Heats,117331,247053,923492,25,False
Live Heats,117331,247053,923494,33,False
Live Heats,117331,247053,1169471,33,False
Live Heats,117331,247053,923485,33,False
Live Heats,117331,247053,1166233,33,False
Live Heats,117331,247053,817949,33,False
Live Heats,117331,247053,1163257,33,False
Live Heats,117331,247053,830095,33,False
Live Heats,117331,247053,923495,33,False
Live Heats,117331,247053,923497,33,False
Live Heats,117331,247053,530548,33,False
Live Heats,117331,247053,1181562,33,False
Live Heats,117331,247053,923498,33,False
Live Heats,117331,247053,1166082,33,False
Live Heats,117331,247053,775151,33,False
Live Heats,117331,247053,817982,33,False
Live Heats,117331,247054,923330,1,False
Live Heats,117331,247054,820127,2,False
Live Heats,117331,247054,1210135,3,False
Live Heats,117331,247054,923332,4,False
Live Heats,117331,247054,1205034,5,False
Live Heats,117331,247054,1207521,6,False
Live Heats,117331,247054,815441,7,False
Live Heats,117331,247054,923335,7,False
Live Heats,117331,247054,1198918,9,False
Live Heats,117331,247054,1205855,9,False
Live Heats,117331,247054,820028,9,False
