source,event_id,eventDivisionId,sex,round_name,round_order,heat_id,heat_order,total_winners_progressing,winners_progressing_to_round_order,total_losers_progressing,losers_progressing_to_round_order,Total_Round_Heats,Max_Heats,actual_heat_order,y_pos
Live Heats,72449,168178,Men,Final,0,1524498,0,8.0,9.0,,,1,1,1,1.0
Live Heats,72449,168179,Women,Final,0,1524531,0,8.0,9.0,,,1,1,1,1.0
Live Heats,72449,168181,Masters,Final,0,1524533,0,8.0,9.0,,,1,1,1,1.0
Live Heats,72450,168184,Men,Final,0,2011758,0,0.0,1.0,,,1,1,1,1.0
Live Heats,72450,168185,Women,Final,0,2011791,0,0.0,1.0,,,1,1,1,1.0
Live Heats,72452,168196,Men,Round 1,0,1720244,0,,,,,8,8,1,1.0
Live Heats,72452,168196,Men,Quarter Finals,1,1720252,0,,,,,4,8,1,3.0
Live Heats,72452,168196,Men,Semi finals,2,1720256,0,,,,,2,8,1,4.0
Live Heats,72452,168196,Men,Finals,3,1720258,0,,5.0,,4.0,1,8,1,4.5
Live Heats,72452,168196,Men,Round 1,0,1720245,1,,,,,8,8,2,2.0
Live Heats,72452,168196,Men,Quarter Finals,1,1720253,1,,,,,4,8,2,4.0
Live Heats,72452,168196,Men,Semi finals,2,1720257,1,,,,,2,8,2,5.0
Live Heats,72452,168196,Men,Round 1,0,1720246,2,,,,,8,8,3,3.0
Live Heats,72452,168196,Men,Quarter Finals,1,1720254,2,,,,,4,8,3,5.0
Live Heats,72452,168196,Men,Round 1,0,1720247,3,,,,,8,8,4,4.0
Live Heats,72452,168196,Men,Quarter Finals,1,1720255,3,,,,,4,8,4,6.0
Live Heats,72452,168196,Men,Round 1,0,1720248,4,,,,,8,8,5,5.0
Live Heats,72452,168196,Men,Round 1,0,1720249,5,,,,,8,8,6,6.0
Live Heats,72452,168196,Men,Round 1,0,1720250,6,,,,,8,8,7,7.0
Live Heats,72452,168196,Men,Round 1,0,1720251,7,,,,,8,8,8,8.0
Live Heats,72453,168199,Men,Final,0,1650527,0,0.0,1.0,,,1,1,1,1.0
Live Heats,72454,168205,Men,Round 1,0,1822184,0,2.0,2.0,2.0,1.0,6,6,1,1.0
Live Heats,72454,168205,Men,Round 2,1,1822190,0,1.0,2.0,,,4,6,1,2.0
Live Heats,72454,168205,Men,Quarterfinal,2,1822194,0,2.0,3.0,,,4,6,1,2.0
Live Heats,72454,168205,Men,Semifinal,3,1822198,0,,,,,2,6,1,3.0
Live Heats,72454,168205,Men,Final,4,1822200,0,0.0,1.0,,,1,6,1,3.5
Live Heats,72454,168205,Men,Round 1,0,1822185,1,2.0,2.0,2.0,1.0,6,6,2,2.0
Live Heats,72454,168205,Men,Round 2,1,1822191,1,1.0,2.0,,,4,6,2,3.0
Live Heats,72454,168205,Men,Quarterfinal,2,1822195,1,2.0,3.0,,,4,6,2,3.0
Live Heats,72454,168205,Men,Semifinal,3,1822199,1,,,,,2,6,2,4.0
Live Heats,72454,168205,Men,Round 1,0,1822186,2,2.0,2.0,2.0,1.0,6,6,3,3.0
Live Heats,72454,168205,Men,Round 2,1,1822192,2,1.0,2.0,,,4,6,3,4.0
Live Heats,72454,168205,Men,Quarterfinal,2,1822196,2,2.0,3.0,,,4,6,3,4.0
Live Heats,72454,168205,Men,Round 1,0,1822187,3,2.0,2.0,2.0,1.0,6,6,4,4.0
Live Heats,72454,168205,Men,Round 2,1,1822193,3,1.0,2.0,,,4,6,4,5.0
Live Heats,72454,168205,Men,Quarterfinal,2,1822197,3,2.0,3.0,,,4,6,4,5.0
Live Heats,72454,168205,Men,Round 1,0,1822188,4,2.0,2.0,2.0,1.0,6,6,5,5.0
Live Heats,72454,168205,Men,Round 1,0,1822189,5,2.0,2.0,2.0,1.0,6,6,6,6.0
Live Heats,72454,168206,Women,Round 1,0,1820864,0,2.0,2.0,2.0,1.0,3,3,1,1.0
Live Heats,72454,168206,Women,Quarterfinal,1,1820867,0,2.0,3.0,,,1,3,1,2.0
Live Heats,72454,168206,Women,Semifinal,2,1820869,0,2.0,3.0,,,2,3,1,1.5
Live Heats,72454,168206,Women,Final,3,1820870,0,0.0,1.0,,,1,3,1,2.0
Live Heats,72454,168206,Women,Round 1,0,1820865,1,2.0,2.0,2.0,1.0,3,3,2,2.0
Live Heats,72454,168206,Women,Semifinal,2,1820871,1,2.0,3.0,,,2,3,2,2.5
Live Heats,72454,168206,Women,Round 1,0,1820866,2,2.0,2.0,2.0,1.0,3,3,3,3.0
Live Heats,72454,168208,Masters,Round 1,0,1820872,0,2.0,2.0,3.0,1.0,2,2,1,1.0
Live Heats,72454,168208,Masters,Quarterfinal,1,1820875,0,2.0,3.0,,,1,2,1,1.5
Live Heats,72454,168208,Masters,Semifinal,2,1820877,0,,,,,2,2,1,1.0
Live Heats,72454,168208,Masters,Final,3,1820878,0,0.0,1.0,,,1,2,1,1.5
Live Heats,72454,168208,Masters,Round 1,0,1820873,1,2.0,2.0,3.0,1.0,2,2,2,2.0
Live Heats,72454,168208,Masters,Semifinal,2,1820879,1,,,,,2,2,2,2.0
Live Heats,72454,168210,Open AM,Round 1,0,1822623,0,2.0,2.0,3.0,1.0,3,3,1,1.0
Live Heats,72454,168210,Open AM,Quarterfinal,1,1822626,0,1.0,2.0,,,2,3,1,1.5
Live Heats,72454,168210,Open AM,Semifinal,2,1822628,0,2.0,3.0,,,2,3,1,1.5
Live Heats,72454,168210,Open AM,Final,3,1822630,0,0.0,1.0,,,1,3,1,2.0
Live Heats,72454,168210,Open AM,Round 1,0,1822624,1,2.0,2.0,3.0,1.0,3,3,2,2.0
Live Heats,72454,168210,Open AM,Quarterfinal,1,1822627,1,1.0,2.0,,,2,3,2,2.5
Live Heats,72454,168210,Open AM,Semifinal,2,1822629,1,2.0,3.0,,,2,3,2,2.5
Live Heats,72454,168210,Open AM,Round 1,0,1822625,2,2.0,2.0,3.0,1.0,3,3,3,3.0
Live Heats,72455,168211,Men,Round 1,0,1884759,0,,,,,8,8,1,1.0
Live Heats,72455,168211,Men,Quarterfinal,1,1885048,0,,,,,4,8,1,3.0
Live Heats,72455,168211,Men,Semifinal,2,1885054,0,,,,,2,8,1,4.0
Live Heats,72455,168211,Men,Final,3,1885056,0,,,,,1,8,1,4.5
