source,event_id,eventDivisionid,name,athleteId,place,Points,incomplete
PWA,357,960,Marino Gil Gherardi,E-959,1,10000,False
PWA,357,960,Julian Salmonn,G-21,2,8500,False
PWA,357,960,Philip Köster,G-44,3,7650,False
PWA,357,960,Dieter Van der Eyken,B-35,4,6885,False
PWA,357,960,Liam Dunkerbeck Morales,E-11,5,6115,False
PWA,357,960,Robby Swift,K-89,5,6115,False
PWA,357,960,Ricardo Campello,V-111,7,5450,False
PWA,357,960,Alessio Stillrich,E-95,8,5040,False
PWA,357,960,Marcilio Browne,BRA-105,9,4790,False
PWA,357,960,Victor Fernandez,E-42,10,4550,False
PWA,357,960,Moritz Mauch,G-103,11,4320,False
PWA,357,960,Miguel Chapuis,E-99,12,4105,False
PWA,357,960,Takuma Sugi,J-7,13,3803,False
PWA,357,960,Lennart Neubauer,GRE-734,13,3803,False
PWA,357,960,Antoine Martin,F-193,15,3433,False
PWA,357,960,Carlos Kiefer Quintana,E-242,15,3433,False
PWA,357,960,Samuele Ferraro,I-505,17,2946,False
PWA,357,960,Takara Ishii,J-20,17,2946,False
PWA,357,960,Antoine Albert,NC-21,17,2946,False
PWA,357,960,Adam Warchol,POL-111,17,2946,False
PWA,357,960,Leon Jamaer,G-208,21,2400,False
PWA,357,960,Arthur Arutkin,F-7,21,2400,False
PWA,357,960,Thomas Traversa,F-3,21,2400,False
PWA,357,960,Antony Ruenes,F-85,21,2400,False
PWA,357,960,Gregory Stathopoulos,GRE-73,25,1954,False
PWA,357,960,Josep Pons,E-203,25,1954,False
PWA,357,960,Michael Friedl Morales,E-255,25,1954,False
PWA,357,960,Morgan Noireaux,HI-101,25,1954,False
PWA,357,960,Federico Morisio,I-676,29,1591,False
PWA,357,960,Tomer Shamgar,ISR-13,29,1591,False
PWA,357,960,Daniel Bruch,G-1181,29,1591,False
PWA,357,960,Titouan Flechet,F-47,29,1591,False
PWA,357,960,Anton Richter,G-6,33,1177,False
PWA,357,960,José Romero,E-45,33,1177,False
PWA,357,960,Marc Alonso,E-0,33,1177,False
PWA,357,960,Henri Kolberg,G-45,33,1177,False
PWA,357,960,Tobias Bjørnaa,D-36,33,1177,False
PWA,357,960,Laurin Schmuth,G-878,33,1177,False
PWA,357,960,Simon Thule,DEN-134,33,1177,False
PWA,357,960,Hayata Ishii,J-27,33,1177,False
PWA,357,960,Kymani Laurent,GPE-1,41,781,False
PWA,357,960,Ryu Noguchi,J-39,41,781,False
PWA,357,960,Marlon Maethner,G-31,41,781,False
PWA,357,960,Nick Spangenberg,G-141,41,781,False
PWA,357,960,Tim van Dam Sanchidrian,E-51,41,781,False
PWA,357,960,Lucas Meldrum,K-90,41,781,False
PWA,357,960,Esteban De Cruz,F-3003,41,781,False
PWA,357,960,Nikodem Merlak,POL-64,41,781,False
PWA,357,961,Sarah-Quita Offringa,ARU-91,1,10000,False
PWA,357,961,Lina Erpenstein,G-3,2,8500,False
PWA,357,961,Alexia Kiefer Quintana,E-59,3,7650,False
PWA,357,961,Maria Morales Navarro,E-737,4,6885,False
PWA,357,961,Sol Degrieck,B-5,5,6115,False
PWA,357,961,Pauline Katz,SUI-678,5,6115,False
PWA,357,961,Julia Pasquale,E-229,7,5450,False
PWA,357,961,Lisa Wermeister,F-293,8,5040,False
PWA,357,961,Oda Johanne Brødholt,NOR-500,9,4790,False
PWA,357,961,Line Bang Wittrup,D-82,10,4550,False
PWA,357,961,Annagiulia Piccaglia,E-19,11,4320,False
PWA,357,961,Maria Behrens,G-209,12,4105,False
PWA,357,961,Carla Perello Aznar,ESP,13,3803,False
PWA,357,961,Milanka Linde,G-1316,13,3803,False
PWA,357,961,Svetlana Kolpikova Bala,ESP-1010,15,3433,False
