source,event_id,eventDivisionId,athleteId,place
Live Heats,190953,363706,1169471,1
Live Heats,190953,363706,1166233,1
Live Heats,190953,363706,1181562,3
Live Heats,190953,363706,1405412,3
Live Heats,190953,363706,1163257,5
Live Heats,190953,363706,1076663,5
Live Heats,190953,363707,1076672,1
Live Heats,190953,363707,903847,2
Live Heats,190953,363707,1078967,3
Live Heats,190953,363707,1076674,4
Live Heats,190953,363708,597678,1
Live Heats,190953,363708,1076613,2
Live Heats,190953,363708,1076697,3
Live Heats,147526,290156,923890,1
Live Heats,147526,290156,923891,2
Live Heats,147526,290156,1576025,3
Live Heats,147526,290156,1576322,4
Live Heats,147526,290156,530553,5
Live Heats,147526,290156,923894,5
Live Heats,147526,290156,923893,5
Live Heats,147526,290156,923892,5
Live Heats,147526,290156,530548,9
Live Heats,147526,290156,923900,9
Live Heats,147526,290156,923899,9
Live Heats,147526,290156,923884,9
Live Heats,147526,290156,923898,9
Live Heats,147526,290156,923897,9
Live Heats,147526,290156,923896,9
Live Heats,147526,290156,923895,9
Live Heats,147526,290156,923910,17
Live Heats,147526,290156,923908,17
Live Heats,147526,290156,923911,17
Live Heats,147526,290156,923907,17
Live Heats,147526,290156,923906,17
Live Heats,147526,290156,923905,17
Live Heats,147526,290156,923909,17
Live Heats,147526,290156,1349792,17
Live Heats,147526,290156,923883,17
Live Heats,147526,290156,923902,17
Live Heats,147526,290156,923882,17
Live Heats,147526,290156,923901,17
Live Heats,147526,290156,923887,17
Live Heats,147526,290156,923904,17
Live Heats,147526,290158,1576025,1
Live Heats,147526,290158,1576322,2
Live Heats,147526,290158,923882,3
Live Heats,147526,290158,923883,4
Live Heats,147526,290158,923888,5
Live Heats,147526,290158,923886,5
Live Heats,147526,290158,923887,5
Live Heats,147526,290158,923884,5
Live Heats,147526,290158,923889,9
Live Heats,164024,315787,1202340,1
Live Heats,164024,315787,1205619,2
Live Heats,164024,315787,1199509,3
Live Heats,164024,315787,791485,4
Live Heats,164024,315787,999815,5
Live Heats,164024,315787,1206477,5
Live Heats,164024,315787,999813,7
Live Heats,164024,315787,999817,7
Live Heats,164024,315787,791455,9
Live Heats,164024,315787,1197966,9
Live Heats,164024,315787,1000711,11
Live Heats,164024,315787,1557058,11
Live Heats,164024,315787,566400,13
Live Heats,72489,168257,776105,1
Live Heats,72489,168257,776106,2
Live Heats,72489,168257,776107,3
Live Heats,72489,168257,776138,4
Live Heats,72489,168257,776139,5
Live Heats,72489,168257,776140,6
Live Heats,72489,168258,1589294,1
Live Heats,72489,168258,776171,2
