event_id,eventDivisionId,sex,round_name,round_order,heat_id,heat_order,total_winners_progressing,winners_progressing_to_round_order,total_losers_progressing,losers_progressing_to_round_order,source
357,857,Men,Round 1,0,1657_28a,28,2,,,,PWA
357,857,Men,Round 1,0,1657_29a,29,2,,,,PWA
357,857,Men,Round 1,0,1657_30a,30,2,,,,PWA
357,857,Men,Round 1,0,1657_31a,31,2,,,,PWA
357,857,Men,Round 1,0,1657_32a,32,2,,,,PWA
357,857,Men,Round 1,0,1657_33a,33,2,,,,PWA
357,857,Men,Round 1,0,1657_34a,34,2,,,,PWA
357,857,Men,Round 1,0,1657_35a,35,2,,,,PWA
357,857,Men,Round 2,1,1657_36a,36,2,,,,PWA
357,857,Men,Round 2,1,1657_37a,37,2,,,,PWA
357,857,Men,Round 2,1,1657_38a,38,2,,,,PWA
357,857,Men,Round 2,1,1657_39a,39,2,,,,PWA
357,857,Men,Round 3,2,1657_40a,40,2,,,,PWA
357,857,Men,Round 3,2,1657_41a,41,2,,,,PWA
357,857,Men,Round 3,2,1657_42a,42,2,,,,PWA
357,857,Men,Round 3,2,1657_43a,43,2,,,,PWA
357,857,Men,Round 4,3,1657_44a,44,2,,,,PWA
357,857,Men,Round 4,3,1657_45a,45,2,,,,PWA
357,857,Men,Round 5,4,1657_46a,46,2,,,,PWA
357,876,Women,Round 1,0,1663_14a,14,2,,,,PWA
357,876,Women,Round 1,0,1663_15a,15,2,,,,PWA
357,876,Women,Round 1,0,1663_16a,16,2,,,,PWA
357,876,Women,Round 1,0,1663_17a,17,2,,,,PWA
357,876,Women,Round 2,1,1663_18a,18,2,,,,PWA
357,876,Women,Round 2,1,1663_19a,19,2,,,,PWA
357,876,Women,Round 3,2,1663_20a,20,2,,,,PWA
357,855,Men,Round 1,0,1657_1a,1,2,,,,PWA
357,855,Men,Round 1,0,1657_2a,2,2,,,,PWA
357,855,Men,Round 1,0,1657_3a,3,2,,,,PWA
357,855,Men,Round 1,0,1657_4a,4,2,,,,PWA
357,855,Men,Round 1,0,1657_5a,5,2,,,,PWA
357,855,Men,Round 1,0,1657_6a,6,2,,,,PWA
