source,event_id,eventDivisionId,heat_id,athleteId,result_total,winBy,needs,place
PWA,357,857,1657_28a,Stathapoulos_GRE-73,,,,2
PWA,357,857,1657_28a,Noguchi_J-39,,,,4
PWA,357,857,1657_28a,Browne_BRA-105,,,,1
PWA,357,857,1657_28a,Ishii_J-27,,,,3
PWA,357,857,1657_29a,Morisio_I-676,,,,2
PWA,357,857,1657_29a,Schmuth_G-878,,,,3
PWA,357,857,1657_29a,Warchol_Pol-111,,,,1
PWA,357,857,1657_29a,van Dam Sanchidrian_E-51,,,,4
PWA,357,857,1657_30a,Albert_NC-21,,,,1
PWA,357,857,1657_30a,Kolberg_G-45,,,,3
PWA,357,857,1657_30a,Friedl Morales_E-255,,,,2
PWA,357,857,1657_30a,Meldrum_K-579,,,,4
PWA,357,857,1657_31a,Kiefer Quintana_E-242,,,,1
PWA,357,857,1657_31a,Romero_E-45,,,,3
PWA,357,857,1657_31a,Shamgar_ISR-13,,,,2
PWA,357,857,1657_31a,Spangenberg_G-141,,,,4
PWA,357,857,1657_32a,Pons_E-203,,,,2
PWA,357,857,1657_32a,Alonso_E-0,,,,3
PWA,357,857,1657_32a,Noireaux_HI-101,,,,1
PWA,357,857,1657_32a,Maethner_G-31,,,,4
PWA,357,857,1657_33a,Richter_G-6,,,,3
PWA,357,857,1657_33a,Laurent_GPE-1,,,,4
PWA,357,857,1657_33a,Neubauer_GRE-734,,,,2
PWA,357,857,1657_33a,Flechet_F-47,,,,1
PWA,357,857,1657_34a,Ishii_J-20,,,,2
PWA,357,857,1657_34a,Bjørnaa_D-36,,,,3
PWA,357,857,1657_34a,Bruch_G-1181,,,,1
PWA,357,857,1657_34a,Merlak_POL-64,,,,4
PWA,357,857,1657_35a,Chapuis_E-99,,,,1
PWA,357,857,1657_35a,Thule_DEN-134,,,,3
PWA,357,857,1657_35a,Mauch_G-103,,,,2
PWA,357,857,1657_35a,De Cruz_F-3003,,,,4
PWA,357,857,1657_36a,Browne_BRA-105,,,,1
PWA,357,857,1657_36a,Friedl Morales_E-255,,,,3
PWA,357,857,1657_36a,Shamgar_ISR-13,,,,4
PWA,357,857,1657_36a,Warchol_Pol-111,,,,2
PWA,357,857,1657_37a,Albert_NC-21,,,,1
PWA,357,857,1657_37a,Stathapoulos_GRE-73,,,,3
PWA,357,857,1657_37a,Morisio_I-676,,,,4
PWA,357,857,1657_37a,Kiefer Quintana_E-242,,,,2
PWA,357,857,1657_38a,Noireaux_HI-101,,,,3
PWA,357,857,1657_38a,Ishii_J-20,,,,2
PWA,357,857,1657_38a,Mauch_G-103,,,,1
PWA,357,857,1657_38a,Flechet_F-47,,,,4
PWA,357,857,1657_39a,Bruch_G-1181,,,,4
PWA,357,857,1657_39a,Pons_E-203,,,,3
PWA,357,857,1657_39a,Neubauer_GRE-734,,,,2
PWA,357,857,1657_39a,Chapuis_E-99,,,,1
PWA,357,857,1657_40a,Arutkin_F-7,,,,4
PWA,357,857,1657_40a,Browne_BRA-105,,,,2
