source,event_id,heat_id,eventDivisionId,athleteId,score,modified_total,modifier,type,counting,total_wave,total_jump,total_points
PWA,357,1657_28a,857,Browne_BRA-105,5.12,,,Wave,No,13.25,16.38,29.63
PWA,357,1657_28a,857,Browne_BRA-105,5.38,,,Wave,No,13.25,16.38,29.63
PWA,357,1657_28a,857,Browne_BRA-105,2.25,,,Wave,No,13.25,16.38,29.63
PWA,357,1657_28a,857,Browne_BRA-105,7.75,,,Wave,Yes,13.25,16.38,29.63
PWA,357,1657_28a,857,Browne_BRA-105,5.50,,,Wave,Yes,13.25,16.38,29.63
PWA,357,1657_28a,857,Browne_BRA-105,5.50,,,B ,No,13.25,16.38,29.63
PWA,357,1657_28a,857,Browne_BRA-105,7.38,,,2xF,Yes,13.25,16.38,29.63
PWA,357,1657_28a,857,Browne_BRA-105,4.62,,,B ,No,13.25,16.38,29.63
PWA,357,1657_28a,857,Browne_BRA-105,3.95,,,B ,No,13.25,16.38,29.63
PWA,357,1657_28a,857,Browne_BRA-105,6.38,,,B ,No,13.25,16.38,29.63
PWA,357,1657_28a,857,Browne_BRA-105,9.00,,,PF,Yes,13.25,16.38,29.63
PWA,357,1657_28a,857,Browne_BRA-105,0.50,,,2xF,No,13.25,16.38,29.63
PWA,357,1657_28a,857,Stathapoulos_GRE-73,6.38,,,Wave,Yes,11.0,9.0,20.0
PWA,357,1657_28a,857,Stathapoulos_GRE-73,4.62,,,Wave,Yes,11.0,9.0,20.0
PWA,357,1657_28a,857,Stathapoulos_GRE-73,4.38,,,B ,Yes,11.0,9.0,20.0
PWA,357,1657_28a,857,Stathapoulos_GRE-73,3.38,,,2xF,No,11.0,9.0,20.0
PWA,357,1657_28a,857,Stathapoulos_GRE-73,3.50,,,B ,No,11.0,9.0,20.0
PWA,357,1657_28a,857,Stathapoulos_GRE-73,1.62,,,F,No,11.0,9.0,20.0
PWA,357,1657_28a,857,Stathapoulos_GRE-73,4.62,,,F,Yes,11.0,9.0,20.0
PWA,357,1657_28a,857,Ishii_J-27,3.88,,,Wave,Yes,3.88,5.74,9.62
PWA,357,1657_28a,857,Ishii_J-27,3.62,,,B ,Yes,3.88,5.74,9.62
PWA,357,1657_28a,857,Ishii_J-27,0.50,,,2xF,No,3.88,5.74,9.62
PWA,357,1657_28a,857,Ishii_J-27,0.50,,,B ,No,3.88,5.74,9.62
PWA,357,1657_28a,857,Ishii_J-27,0.50,,,PF,No,3.88,5.74,9.62
PWA,357,1657_28a,857,Ishii_J-27,0.50,,,B ,No,3.88,5.74,9.62
PWA,357,1657_28a,857,Ishii_J-27,0.50,,,B ,No,3.88,5.74,9.62
PWA,357,1657_28a,857,Ishii_J-27,0.50,,,2xF,No,3.88,5.74,9.62
PWA,357,1657_28a,857,Ishii_J-27,2.12,,,2xF,Yes,3.88,5.74,9.62
PWA,357,1657_28a,857,Noguchi_J-39,3.38,,,Wave,Yes,4.5,0.5,5.0
PWA,357,1657_28a,857,Noguchi_J-39,0.62,,,Wave,No,4.5,0.5,5.0
PWA,357,1657_28a,857,Noguchi_J-39,1.12,,,Wave,Yes,4.5,0.5,5.0
PWA,357,1657_28a,857,Noguchi_J-39,0.50,,,2xF,Yes,4.5,0.5,5.0
PWA,357,1657_28a,857,Noguchi_J-39,0.50,,,2xF,No,4.5,0.5,5.0
PWA,357,1657_28a,857,Noguchi_J-39,0.50,,,2xF,No,4.5,0.5,5.0
PWA,357,1657_28a,857,Noguchi_J-39,0.50,,,2xF,No,4.5,0.5,5.0
PWA,357,1657_29a,857,Warchol_Pol-111,0.88,,,Wave,No,11.12,7.88,19.0
PWA,357,1657_29a,857,Warchol_Pol-111,0.88,,,Wave,No,11.12,7.88,19.0
PWA,357,1657_29a,857,Warchol_Pol-111,3.25,,,Wave,No,11.12,7.88,19.0
PWA,357,1657_29a,857,Warchol_Pol-111,6.00,,,Wave,Yes,11.12,7.88,19.0
PWA,357,1657_29a,857,Warchol_Pol-111,5.12,,,Wave,Yes,11.12,7.88,19.0
PWA,357,1657_29a,857,Warchol_Pol-111,1.50,,,Wave,No,11.12,7.88,19.0
