event_href,event_name,id,category_codes,event_id,elimination_names,year,section,ladder_url
https://www.pwaworldtour.com/index.php?id=38&tx_pwaevent_pi1%5BshowUid%5D=357&cHash=c9720a68c542213e603b7dd18e1a98cf,2024 Gran Canaria GLORIA PWA Windsurfing Grand Slam ******,2310,"['857', '876', '882', '881', '880', '879', '878', '877', '875', '874', '873', '872', '870', '869', '871', '867', '868', '866', '865', '864', '863', '862', '859', '861', '855', '856']",357,"['Mens 2024 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Wave elimination double elimination', 'Womens 2024 Gran Canaria PWA Windsurfing Grand Slam ****** Women Wave elimination double elimination', '2024 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Slalom Elimination 10', '2024 Gran Canaria PWA Windsurfing Grand Slam ****** Womens Slalom Elimination 11', '2024 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Slalom Elimination 9', '2024 Gran Canaria PWA Windsurfing Grand Slam ****** Womens Slalom Elimination 10', '2024 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Slalom Elimination 8', '2024 Gran Canaria PWA Windsurfing Grand Slam ****** Womens Slalom Elimination 9', '2024 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Slalom Elimination 7', '2024 Gran Canaria PWA Windsurfing Grand Slam ****** Womens Slalom Elimination 8', '2024 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Slalom Elimination 6', '2024 Gran Canaria PWA Windsurfing Grand Slam ****** Womens Slalom Elimination 7', '2024 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Slalom Elimination 5', '2024 Gran Canaria PWA Windsurfing Grand Slam ****** Womens Slalom Elimination 6', '2024 Gran Canaria PWA Windsurfing Grand Slam ****** Womens Slalom Elimination 8', '2024 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Slalom Elimination 4', '2024 Gran Canaria PWA Windsurfing Grand Slam ****** Womens Slalom Elimination 5', '2024 Gran Canaria PWA Windsurfing Grand Slam ****** Womens Slalom Elimination 4', '2024 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Slalom Elimination 3', '2024 Gran Canaria PWA Windsurfing Grand Slam ****** Womens Slalom Elimination 3', '2024 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Slalom Elimination 2', '2024 Gran Canaria PWA Windsurfing Grand Slam ****** Womens Slalom Elimination 2', '2024 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Slalom Elimination 1', '2024 Gran Canaria PWA Windsurfing Grand Slam ****** Womens Slalom Elimination 1', 'Mens 2024 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Wave elimination', 'Womens 2024 Gran Canaria PWA Windsurfing Grand Slam ****** Women Wave elimination']",2024,Completed events,https://www.pwaworldtour.com/index.php?id=1900&type=21&tx_pwaevent_pi1%5Baction%5D=ladders&tx_pwaevent_pi1%5BshowUid%5D=357
https://www.pwaworldtour.com/index.php?id=38&tx_pwaevent_pi1%5BshowUid%5D=359&cHash=caad02636580af46a906c7d26caf8b10,2024 Fuerteventura PWA Grand Slam ******,2310,"['922', '923', '921', '903', '902', '918', '919', '917', '915', '916', '914', '913', '912', '911', '910', '909', '907', '908', '905', '906', '904', '901', '899', '894', '898', '897', '892', '891', '889', '888', '900', '896', '895', '893', '890', '887', '885', '886', '884', '883']",359,"['2024 Fuerteventura PWA Grand Slam ****** Mens Foil Elimination 7', '2024 Fuerteventura PWA Grand Slam ****** Womens Foil Elimination 12', '2024 Fuerteventura PWA Grand Slam ****** Womens Foil Elimination 11', '2024 Fuerteventura PWA Grand Slam ****** Mens Foil Elimination 6', '2024 Fuerteventura PWA Grand Slam ****** Womens Foil Elimination 10', '2024 Fuerteventura PWA Grand Slam ****** Mens Slalom Elimination 6', '2024 Fuerteventura PWA Grand Slam ****** Womens Slalom Elimination 10', '2024 Fuerteventura PWA Grand Slam ****** Womens Slalom Elimination 9', '2024 Fuerteventura PWA Grand Slam ****** Mens Slalom Elimination 5', '2024 Fuerteventura PWA Grand Slam ****** Womens Slalom Elimination 8', '2024 Fuerteventura PWA Grand Slam ****** Womens Slalom Elimination 7', '2024 Fuerteventura PWA Grand Slam ****** Mens Slalom Elimination 4', '2024 Fuerteventura PWA Grand Slam ****** Womens Slalom Elimination 6', '2024 Fuerteventura PWA Grand Slam ****** Womens Slalom Elimination 5', '2024 Fuerteventura PWA Grand Slam ****** Mens Slalom Elimination 3', '2024 Fuerteventura PWA Grand Slam ****** Womens Slalom Elimination 4', '2024 Fuerteventura PWA Grand Slam ****** Mens Slalom Elimination 2', '2024 Fuerteventura PWA Grand Slam ****** Womens Slalom Elimination 3', '2024 Fuerteventura PWA Grand Slam ****** Mens Slalom Elimination 1', '2024 Fuerteventura PWA Grand Slam ****** Womens Slalom Elimination 2', '2024 Fuerteventura PWA Grand Slam ****** Womens Slalom Elimination 1', '2024 Fuerteventura PWA Grand Slam ****** Womens Foil Elimination 9', '2024 Fuerteventura PWA Grand Slam ****** Mens Foil Elimination 5', '2024 Fuerteventura PWA Grand Slam ****** Womens Foil Elimination 5', '2024 Fuerteventura PWA Grand Slam ****** Womens Foil Elimination 8', '2024 Fuerteventura PWA Grand Slam ****** Womens Foil Elimination 7', '2024 Fuerteventura PWA Grand Slam ****** Womens Foil Elimination 4', '2024 Fuerteventura PWA Grand Slam ****** Womens Foil Elimination 3', '2024 Fuerteventura PWA Grand Slam ****** Womens Foil Elimination 2', '2024 Fuerteventura PWA Grand Slam ****** Womens Foil Elimination 1', '2024 Fuerteventura PWA Grand Slam ****** Womens Foil Elimination 10', '2024 Fuerteventura PWA Grand Slam ****** Mens Foil Elimination 4', '2024 Fuerteventura PWA Grand Slam ****** Womens Foil Elimination 6', '2024 Fuerteventura PWA Grand Slam ****** Mens Foil Elimination 3', '2024 Fuerteventura PWA Grand Slam ****** Mens Foil Elimination 2', '2024 Fuerteventura PWA Grand Slam ****** Mens Foil Elimination 1', 'Mens 2024 Fuerteventura PWA Grand Slam ****** Mens Freestyle elimination 1(double)', 'Womens 2024 Fuerteventura PWA Grand Slam ****** Womens Freestyle elimination 1(double)', 'Womens 2024 Fuerteventura PWA Grand Slam ****** Womens Freestyle elimination 1', 'Mens 2024 Fuerteventura PWA Grand Slam ****** Mens Freestyle elimination 1']",2024,Completed events,https://www.pwaworldtour.com/index.php?id=1900&type=21&tx_pwaevent_pi1%5Baction%5D=ladders&tx_pwaevent_pi1%5BshowUid%5D=359
https://www.pwaworldtour.com/index.php?id=38&tx_pwaevent_pi1%5BshowUid%5D=358&cHash=810d8779bf78e5fb75817e83f998b70b,2024 Tenerife PWA World Cup ****,2310,"['926', '927', '924', '925']",358,"['Mens 2024 Tenerife PWA World Cup ***** Mens Wave elimination double elimination', 'Womens 2024 Tenerife PWA World Cup ***** Women Wave elimination double elimination', 'Mens 2024 Tenerife PWA World Cup ***** Mens Wave elimination', 'Womens 2024 Tenerife PWA World Cup ***** Women Wave elimination']",2024,Completed events,https://www.pwaworldtour.com/index.php?id=1900&type=21&tx_pwaevent_pi1%5Baction%5D=ladders&tx_pwaevent_pi1%5BshowUid%5D=358
https://www.pwaworldtour.com/index.php?id=38&tx_pwaevent_pi1%5BshowUid%5D=363&cHash=bf5225169ae75b8279dac2e81dc7def1,2024 Citroën PWA Windsurf World Cup Sylt *******,2310,"['951', '949', '950', '930', '948', '946', '947', '945', '943', '944', '942', '941', '940', '938', '939', '937', '934', '936', '935', '932', '933', '929', '928', '931']",363,"['2024 Citroen PWA Windsurf World Cup Sylt ******* Womens Foil Elimination 13', '2024 Citroen PWA Windsurf World Cup Sylt ******* Mens Foil Elimination 7', '2024 Citroen PWA Windsurf World Cup Sylt ******* Womens Foil Elimination 12', 'Mens 2024 Citroen PWA Windsurf World Cup Sylt ******* Mens Freestyle elimination 1', '2024 Citroen PWA Windsurf World Cup Sylt ******* Womens Foil Elimination 11', '2024 Citroen PWA Windsurf World Cup Sylt ******* Mens Foil Elimination 6', '2024 Citroen PWA Windsurf World Cup Sylt ******* Womens Foil Elimination 10', '2024 Citroen PWA Windsurf World Cup Sylt ******* Womens Foil Elimination 9', '2024 Citroen PWA Windsurf World Cup Sylt ******* Mens Foil Elimination 5', '2024 Citroen PWA Windsurf World Cup Sylt ******* Womens Foil Elimination 8', '2024 Citroen PWA Windsurf World Cup Sylt ******* Womens Foil Elimination 7', '2024 Citroen PWA Windsurf World Cup Sylt ******* Mens Foil Elimination 4', '2024 Citroen PWA Windsurf World Cup Sylt ******* Womens Foil Elimination 6', '2024 Citroen PWA Windsurf World Cup Sylt ******* Mens Foil Elimination 3', '2024 Citroen PWA Windsurf World Cup Sylt ******* Womens Foil Elimination 5', '2024 Citroen PWA Windsurf World Cup Sylt ******* Womens Foil Elimination 4', '2024 Citroen PWA Windsurf World Cup Sylt ******* Mens Foil Elimination 2', '2024 Citroen PWA Windsurf World Cup Sylt ******* Womens Foil Elimination 3', '2024 Citroen PWA Windsurf World Cup Sylt ******* Womens Foil Elimination 2', '2024 Citroen PWA Windsurf World Cup Sylt ******* Mens Foil Elimination 1', '2024 Citroen PWA Windsurf World Cup Sylt ******* Womens Foil Elimination 1', 'Mens 2024 Citroen PWA Windsurf World Cup Sylt ******* Mens Wave elimination', 'Womens 2024 Citroen PWA Windsurf World Cup Sylt ******* Women Wave elimination', 'Mens 2024 Citroen PWA Windsurf World Cup Sylt ******* Mens Wave elimination double elimination']",2024,Completed events,https://www.pwaworldtour.com/index.php?id=1900&type=21&tx_pwaevent_pi1%5Baction%5D=ladders&tx_pwaevent_pi1%5BshowUid%5D=363
https://www.pwaworldtour.com/index.php?id=38&tx_pwaevent_pi1%5BshowUid%5D=366&cHash=2cd4b9e39c6233384046e5544aab5596,"2024 Fly! ANA Yokosuka, Miura, Windsurf World Cup, Japan *****",2310,"['965', '964', '963', '961', '960', '959', '957', '956', '955', '954']",366,"['2024 Fly! ANA World Cup, Japan Mens Foil Elimination 5', '2024 Fly! ANA World Cup, Japan Womens Foil Elimination 5', '2024 Fly! ANA World Cup, Japan Mens Foil Elimination 4', '2024 Fly! ANA World Cup, Japan Womens Foil Elimination 4', '2024 Fly! ANA World Cup, Japan Mens Foil Elimination 3', '2024 Fly! ANA World Cup, Japan Womens Foil Elimination 3', '2024 Fly! ANA World Cup, Japan Mens Foil Elimination 2', '2024 Fly! ANA World Cup, Japan Womens Foil Elimination 2', '2024 Fly! ANA World Cup, Japan Mens Foil Elimination 1', '2024 Fly! ANA World Cup, Japan Womens Foil Elimination 1']",2024,Completed events,https://www.pwaworldtour.com/index.php?id=1900&type=21&tx_pwaevent_pi1%5Baction%5D=ladders&tx_pwaevent_pi1%5BshowUid%5D=366
https://www.pwaworldtour.com/index.php?id=38&tx_pwaevent_pi1%5BshowUid%5D=336&cHash=0b8f4942373ecbec9adaa3dce9dafa56,2023 Torbole PWA World Cup *****,2284,"['752', '754', '751', '753', '750', '748', '749', '747', '746', '744', '745']",336,"['2023 Torbole PWA World Cup ***** Mens Slalom Elimination 4', '2023 Torbole PWA World Cup ***** Womens Slalom Elimination 7', '2023 Torbole PWA World Cup ***** Mens Slalom Elimination 3', '2023 Torbole PWA World Cup ***** Womens Slalom Elimination 6', '2023 Torbole PWA World Cup ***** Womens Slalom Elimination 5', '2023 Torbole PWA World Cup ***** Mens Slalom Elimination 2', '2023 Torbole PWA World Cup ***** Womens Slalom Elimination 4', '2023 Torbole PWA World Cup ***** Womens Slalom Elimination 3', '2023 Torbole PWA World Cup ***** Womens Slalom Elimination 2', '2023 Torbole PWA World Cup ***** Mens Slalom Elimination 1', '2023 Torbole PWA World Cup ***** Womens Slalom Elimination 1']",2023,Completed events,https://www.pwaworldtour.com/index.php?id=1900&type=21&tx_pwaevent_pi1%5Baction%5D=ladders&tx_pwaevent_pi1%5BshowUid%5D=336
https://www.pwaworldtour.com/index.php?id=38&tx_pwaevent_pi1%5BshowUid%5D=338&cHash=b9ace970f382423c0fca8363194b4212,2023 Gran Canaria PWA Windsurfing Grand Slam ******,2284,"['762', '758', '759', '785', '786', '782', '784', '783', '781', '780', '777', '778', '774', '776', '775', '772', '773', '771', '770', '769', '766', '768', '767', '764', '765', '763', '760', '761', '755']",338,"['Womens 2023 Gran Canaria PWA Windsurfing Grand Slam ****** Women Wave elimination double elimination', 'Womens 2023 Gran Canaria PWA Windsurfing Grand Slam ****** Women Wave elimination', 'Mens 2023 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Wave elimination double elimination', '2023 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Slalom Elimination 10', '2023 Gran Canaria PWA Windsurfing Grand Slam ****** Womens Slalom Elimination 15', '2023 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Slalom Elimination 9', '2023 Gran Canaria PWA Windsurfing Grand Slam ****** Womens Slalom Elimination 14', '2023 Gran Canaria PWA Windsurfing Grand Slam ****** Womens Slalom Elimination 13', '2023 Gran Canaria PWA Windsurfing Grand Slam ****** Womens Slalom Elimination 12', '2023 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Slalom Elimination 8', '2023 Gran Canaria PWA Windsurfing Grand Slam ****** Womens Slalom Elimination 11', '2023 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Slalom Elimination 7', '2023 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Slalom Elimination 6', '2023 Gran Canaria PWA Windsurfing Grand Slam ****** Womens Slalom Elimination 10', '2023 Gran Canaria PWA Windsurfing Grand Slam ****** Womens Slalom Elimination 9', '2023 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Slalom Elimination 5', '2023 Gran Canaria PWA Windsurfing Grand Slam ****** Womens Slalom Elimination 8', '2023 Gran Canaria PWA Windsurfing Grand Slam ****** Womens Slalom Elimination 7', '2023 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Slalom Elimination 4', '2023 Gran Canaria PWA Windsurfing Grand Slam ****** Womens Slalom Elimination 6', '2023 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Slalom Elimination 3', '2023 Gran Canaria PWA Windsurfing Grand Slam ****** Womens Slalom Elimination 5', '2023 Gran Canaria PWA Windsurfing Grand Slam ****** Womens Slalom Elimination 4', '2023 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Slalom Elimination 2', '2023 Gran Canaria PWA Windsurfing Grand Slam ****** Womens Slalom Elimination 3', '2023 Gran Canaria PWA Windsurfing Grand Slam ****** Womens Slalom Elimination 2', '2023 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Slalom Elimination 1', '2023 Gran Canaria PWA Windsurfing Grand Slam ****** Womens Slalom Elimination 1', 'Mens 2023 Gran Canaria PWA Windsurfing Grand Slam ****** Mens Wave elimination']",2023,Completed events,https://www.pwaworldtour.com/index.php?id=1900&type=21&tx_pwaevent_pi1%5Baction%5D=ladders&tx_pwaevent_pi1%5BshowUid%5D=338
https://www.pwaworldtour.com/index.php?id=38&tx_pwaevent_pi1%5BshowUid%5D=340&cHash=61eb563ed7561dc510e147975efd5c91,2023 Fuerteventura PWA Grand Slam ******,2284,"['819', '818', '817', '815', '813', '814', '810', '812', '811', '808', '809', '807', '805', '806', '803', '804', '802', '801', '799', '800', '798', '796', '797', '795', '793', '794', '792', '787', '791', '790', '789']",340,"['Mens 2023 Fuerteventura PWA Grand Slam ****** Mens Freestyle elimination 1(double)', 'Womens 2023 Fuerteventura PWA Grand Slam ****** Womens Freestyle elimination 1(double)', 'Mens 2023 Fuerteventura PWA Grand Slam ****** Mens Freestyle elimination 1', 'Womens 2023 Fuerteventura PWA Grand Slam ****** Womens Freestyle elimination 1', '2023 Fuerteventura PWA Grand Slam ****** Mens Slalom Elimination 11', '2023 Fuerteventura PWA Grand Slam ****** Womens Slalom Elimination 15', '2023 Fuerteventura PWA Grand Slam ****** Womens Slalom Elimination 14', '2023 Fuerteventura PWA Grand Slam ****** Mens Slalom Elimination 10', '2023 Fuerteventura PWA Grand Slam ****** Mens Slalom Elimination 9', '2023 Fuerteventura PWA Grand Slam ****** Mens Slalom Elimination 8', '2023 Fuerteventura PWA Grand Slam ****** Womens Slalom Elimination 13', '2023 Fuerteventura PWA Grand Slam ****** Womens Slalom Elimination 12', '2023 Fuerteventura PWA Grand Slam ****** Mens Slalom Elimination 7', '2023 Fuerteventura PWA Grand Slam ****** Womens Slalom Elimination 11', '2023 Fuerteventura PWA Grand Slam ****** Womens Slalom Elimination 10', '2023 Fuerteventura PWA Grand Slam ****** Mens Slalom Elimination 6', '2023 Fuerteventura PWA Grand Slam ****** Mens Slalom Elimination 5', '2023 Fuerteventura PWA Grand Slam ****** Womens Slalom Elimination 9', '2023 Fuerteventura PWA Grand Slam ****** Mens Slalom Elimination 4', '2023 Fuerteventura PWA Grand Slam ****** Womens Slalom Elimination 8', '2023 Fuerteventura PWA Grand Slam ****** Womens Slalom Elimination 7', '2023 Fuerteventura PWA Grand Slam ****** Mens Slalom Elimination 3', '2023 Fuerteventura PWA Grand Slam ****** Womens Slalom Elimination 6', '2023 Fuerteventura PWA Grand Slam ****** Womens Slalom Elimination 5', '2023 Fuerteventura PWA Grand Slam ****** Mens Slalom Elimination 2', '2023 Fuerteventura PWA Grand Slam ****** Womens Slalom Elimination 4', '2023 Fuerteventura PWA Grand Slam ****** Womens Slalom Elimination 3', '2023 Fuerteventura PWA Grand Slam ****** Mens Slalom Elimination 1', '2023 Fuerteventura PWA Grand Slam ****** Womens Slalom Elimination 2', '2023 Fuerteventura PWA Grand Slam ****** Womens Slalom Elimination 2', '2023 Fuerteventura PWA Grand Slam ****** Womens Slalom Elimination 1']",2023,Completed events,https://www.pwaworldtour.com/index.php?id=1900&type=21&tx_pwaevent_pi1%5Baction%5D=ladders&tx_pwaevent_pi1%5BshowUid%5D=340
https://www.pwaworldtour.com/index.php?id=38&tx_pwaevent_pi1%5BshowUid%5D=342&cHash=a084d014e91db5fb85fbd4d88f159868,"schauinslandreisen Windsurf World Cup Sylt, presented by got2b *******",2284,"['826', '835', '825', '834', '833', '832', '831', '829', '830', '824', '828', '827', '823']",342,"['Mens Mens Wave elimination', 'Womens Women Wave elimination double elimination', 'Womens Women Wave elimination', '2023 Windsurf World Cup Sylt ******* Mens Slalom Elimination 8', '2023 Windsurf World Cup Sylt ******* Mens Slalom Elimination 7', '2023 Windsurf World Cup Sylt ******* Mens Slalom Elimination 6', '2023 Windsurf World Cup Sylt ******* Mens Slalom Elimination 5', '2023 Windsurf World Cup Sylt ******* Mens Slalom Elimination 4', 'Mens Mens Freestyle elimination (double)', 'Mens Mens Freestyle elimination', '2023 Windsurf World Cup Sylt ******* Mens Slalom Elimination 3', '2023 Windsurf World Cup Sylt ******* Mens Slalom Elimination 2', 'Mens Slalom Elimination 1']",2023,Completed events,https://www.pwaworldtour.com/index.php?id=1900&type=21&tx_pwaevent_pi1%5Baction%5D=ladders&tx_pwaevent_pi1%5BshowUid%5D=342
https://www.pwaworldtour.com/index.php?id=38&tx_pwaevent_pi1%5BshowUid%5D=343&cHash=fa398d029fb70b54b1b9d3c57168a894,"2023 Fly! ANA Yokosuka, Miura, Windsurf World Cup, Japan *****",2284,"['853', '852', '851', '850', '849', '848', '847', '846', '845', '843', '844', '840', '839', '838']",343,"['Mens Slalom Elimination 7', 'Womens Slalom Elimination 7', 'Mens Slalom Elimination 6', 'Womens Slalom Elimination 6', 'Mens Slalom Elimination 5', 'Womens Slalom Elimination 5', 'Mens Slalom Elimination 4', 'Womens Slalom Elimination 4', 'Womens Slalom Elimination 3', 'Mens Slalom Elimination 3', 'Womens Slalom Elimination 2', 'Mens Slalom Elimination 2', 'Mens Slalom Elimination 1', 'Womens Slalom Elimination 1']",2023,Completed events,https://www.pwaworldtour.com/index.php?id=1900&type=21&tx_pwaevent_pi1%5Baction%5D=ladders&tx_pwaevent_pi1%5BshowUid%5D=343
