source,event_id,eventDivisionid,Name,sail_no,athlete_id,place,Points
PWA,358,924,Yentel Caers,B-16,Caers_B-16,1,10000
PWA,358,924,Adrien Bosson,F-296,Bosson_F-296,2,8500
PWA,358,924,Antony Ruenes,F-85,Ruenes_F-85,3,7650
PWA,358,924,Amado Vrieswijk,NB-20,Vrieswijk_NB-20,4,6885
PWA,358,924,Jacopo Testa,ITA-261,Testa_ITA-261,5,6370
PWA,358,924,Lennart Neubauer,GRE-734,Neubauer_GRE-734,6,5930
PWA,358,924,Youp Schmit,NB-12,Schmit_NB-12,7,5285
PWA,358,924,Steven Van Broeckhoven,B-72,Van Broeckhoven_B-72,7,5285
PWA,358,924,Niclas Nebelung,G-584,Nebelung_G-584,9,4476
PWA,358,924,Sam Esteve,F-79,Esteve_F-79,9,4476
PWA,358,924,Antoine Albert,NC-21,Albert_NC-21,9,4476
PWA,358,924,Balz Muller,SUI-21,Muller_SUI-21,9,4476
PWA,358,924,George Grisley,K-468,Grisley_K-468,13,3645
PWA,358,924,Nil Bacon,F-712,Bacon_F-712,13,3645
PWA,358,924,Takuma Sugi,J-7,Sugi_J-7,13,3645
PWA,358,924,Nicolas Akgazciyan,F-400,Akgazciyan_F-400,13,3645
PWA,358,924,Michael Chovan,SVK-70,Chovan_SVK-70,17,2693
PWA,358,924,Robin Van Linden,H-102,Van Linden_H-102,17,2693
PWA,358,924,Takumi Moriya,J-171,Moriya_J-171,17,2693
PWA,358,924,Maarten Molenaar,POL-510,Molenaar_POL-510,17,2693
PWA,358,924,Bodhi Kempen,H-242,Kempen_H-242,17,2693
PWA,358,924,Corto Dumond,NC-26,Dumond_NC-26,17,2693
PWA,358,924,Marino Gil Gherardi,E-959,Gil Gherardi_E-959,17,2693
PWA,358,924,Dieter Van der Eyken,B-35,Van der Eyken_B-35,17,2693
PWA,358,924,Nicolo Di Marco,ITA-37,Di Marco_ITA-37,25,1784
PWA,358,924,Primus Sorling,SWE-333,Sorling_SWE-333,25,1784
PWA,358,924,Ilay Bamnolker,ISR-7,Bamnolker_ISR-7,25,1784
PWA,358,924,Tigo Kort,NED-195,Kort_NED-195,25,1784
PWA,358,924,Liam Dunkerbeck Morales,E-11,Dunkerbeck Morales_E-11,25,1784
PWA,358,924,Dudu Levi,ISR-421,Levi_ISR-421,25,1784
PWA,358,924,Elton (Taty) Frans,NB-9,(Taty) Frans_NB-9,25,1784
PWA,358,924,Zohar Torfstein,ISR-14,Torfstein_ISR-14,25,1784
PWA,358,925,Sarah-Quita Offringa,ARU-91,Offringa_ARU-91,1,10000
PWA,358,925,Maaike Huvermann,NED-108,Huvermann_NED-108,2,9900
PWA,358,925,Oda Johanne Brødholt,NOR-500,Johanne Brødholt_NOR-500,3,9800
PWA,358,925,Lisa Kloster,G-444,Kloster_G-444,4,9700
PWA,358,925,Lina Erpenstein,G-3,Erpenstein_G-3,5,9600
PWA,358,925,Arrianne Aukes,H-131,Aukes_H-131,6,9500
PWA,358,925,Bijou Shahmirian,AUT-707,Shahmirian_AUT-707,7,9350
PWA,358,925,Olya Raskina,14,Raskina_14,7,9350
PWA,363,929,Marine Hunter,FRA-181,Hunter_FRA-181,1,10000
PWA,363,929,Maria Behrens,G-209,Behrens_G-209,2,8500
PWA,363,929,Sarah-Quita Offringa,ARU-91,Offringa_ARU-91,3,7650
PWA,363,929,Justyna Sniady,POL-1111,Sniady_POL-1111,4,6885
PWA,363,929,Sybille Bode,G-132,Bode_G-132,5,5718
