event_id,eventDivisionId,sex,round_name,round_order,heat_id,heat_order,total_winners_progressing,winners_progressing_to_round_order,total_losers_progressing,losers_progressing_to_round_order,source
363,931,Men,Round 1,0,1761_18a,18 a,1,,,,PWA
363,931,Men,Round 1,0,1761_18b,18 b,1,,,,PWA
363,931,Men,Round 1,0,1761_19a,19 a,1,,,,PWA
363,931,Men,Round 1,0,1761_19b,19 b,1,,,,PWA
363,931,Men,Round 1,0,1761_20a,20 a,1,,,,PWA
363,931,Men,Round 1,0,1761_20b,20 b,1,,,,PWA
363,931,Men,Round 1,0,1761_21a,21 a,1,,,,PWA
363,931,Men,Round 1,0,1761_21b,21 b,1,,,,PWA
363,931,Men,Round 2,1,1761_22a,22 a,1,,,,PWA
363,931,Men,Round 2,1,1761_22b,22 b,1,,,,PWA
363,931,Men,Round 2,1,1761_23a,23 a,1,,,,PWA
363,931,Men,Round 2,1,1761_23b,23 b,1,,,,PWA
363,931,Men,Round 2,1,1761_24a,24 a,1,,,,PWA
363,931,Men,Round 2,1,1761_24b,24 b,1,,,,PWA
363,931,Men,Round 2,1,1761_25a,25 a,1,,,,PWA
363,931,Men,Round 2,1,1761_25b,25 b,1,,,,PWA
363,931,Men,Round 3,2,1761_26a,26 a,1,,,,PWA
363,931,Men,Round 3,2,1761_26b,26 b,1,,,,PWA
363,931,Men,Round 3,2,1761_27a,27 a,1,,,,PWA
363,931,Men,Round 3,2,1761_27b,27 b,1,,,,PWA
363,931,Men,Round 4,3,1761_28a,28 a,1,,,,PWA
363,931,Men,Round 4,3,1761_28b,28 b,1,,,,PWA
363,931,Men,Round 4,3,1761_29a,29 a,1,,,,PWA
363,931,Men,Round 4,3,1761_29b,29 b,1,,,,PWA
363,931,Men,Round 5,4,1761_30a,30 a,1,,,,PWA
363,931,Men,Round 5,4,1761_30b,30 b,1,,,,PWA
363,931,Men,Round 6,5,1761_31a,31,1,,,,PWA
363,931,Men,Round 6,5,1761_32a,32,1,,,,PWA
363,931,Men,Round 6,5,1761_33a,33,1,,,,PWA
363,931,Men,Round 6,5,1761_34a,34,1,,,,PWA
363,931,Men,Round 6,5,1761_35a,35,1,,,,PWA
363,931,Men,Round 6,5,1761_36a,36,1,,,,PWA
