name,age,nationality,sail_no,pwa_url,current_sponsors,pwa_yob
Vickey Abbot,39.0,British ,AWT-3,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1639&cHash=3079be6910811c9a204a0edff446b23b,"Quatro International, Goya Windsurfing, Bluesmiths",1986.0
Rafael Aguado,54.0,Spanish ,ES-101,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1875&cHash=b8a5ae4d16b761d72c0879053a68af75,"Starboard, Severne Windsurfing",1971.0
Mariana Aguilar Chavez Peon,26.0,Mexican ,MEX-2,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=2235&cHash=d3e6a8605a12b1ab05b816b468302fb9,,1999.0
Sean Aiken,57.0,American ,USA-62,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=8&cHash=fc14e76f6d8659920ef551dec59fddaa,"Quatro International, Naish Sails, No Limit Surf shop",1968.0
Nicolas Akgazciyan,39.0,French ,F-400,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=327&cHash=eff404308eaea3d38a4eca965cee73d4,"JP, NeilPryde, L'Artisan Groupe OPB, ClimatPur Maintenance, Sooruz, Le Grand Narbonne, Leucate, Pierrick Harangwine, Maui Ultra Fins",1986.0
Marina Alabau,39.0,Spanish ,E-1,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1871&cHash=e962b235720acf14814ce5eb4c3ee00f,"Severne Windsurfing, Starboard Foil",1986.0
Blanca Alabau,28.0,Spanish ,E-3,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1872&cHash=e79fc025070e227bfdab5ecca952ded9,"WeOne, Severne Windsurfing, ZFoils",1997.0
Guillermo Alba Lasheras,40.0,Spanish ,E-68,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1728&cHash=a53e3f979f6955000eefd581f5870961,"Goya Windsurfing, ION",1985.0
Silvia Alba Orozco,43.0,Spanish ,E-67,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=369&cHash=e6895220024e75e82e8ef773590cf533,"Quatro International, Goya Windsurfing, Goya Windsurfing, MFC",1982.0
Antoine Albeau,52.0,French ,F-192,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=9&cHash=9ffbb805d9f611f7c5638b331f7f3c36,"JP, NeilPryde, Garmin, Quiksilver, Man NegoLoc, PNJ Cam.com, Chris Benz, Orange, NeilPryde Foils, Yamaha WaveRunners, Sellsy",1973.0
Antoine Albert,30.0,French ,NC-21,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1392&cHash=c3743b726fa57e46963bd827f4d3de07,"Goya Windsurfing, All-in Sport Beach Company, Services +, Acpv Nc, MFC, Saint-Jacques Wetsuits",1995.0
Tristan Algret,31.0,French ,GPE-44,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1304&cHash=b08845c21007244a56a46b217684acf5,"Starboard, Severne Windsurfing, ADEP, Chopper Fins, Mystic, Starboard Foil",1994.0
Steve Allen,51.0,Australian ,AUS-0,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=154&cHash=07b1ba1f5be0dc80bf9677f55210a363,,1974.0
Marc Alonso,18.0,Spanish ,E-0,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=2114&cHash=239d2967333d3bb6e05cdf3c5ed0440a,"F2, Dakine, Sailboards Tarifa",2007.0
Eleazar Alonso Sanchez,38.0,Spanish ,E-41,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=779&cHash=ad074c781af7c7382b2bcaba6236449e,"Xtreme Sails, King Hogar, Lpwindsurf",1987.0
Tomonori Anami,28.0,Japanese ,JPN-60,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1591&cHash=0a1fc8102c23605c3a7eb4a29473bf69,"Starboard, Severne Windsurfing, Breaker Out, National Institute of Fitness and Sports in Kanoya",1997.0
Mio Anayama,39.0,Japanese ,JPN-311,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1228&cHash=9374f71e594d92367d38c79f823dd59b,"FMX Racing, S2Maui, Brunotti Sportswear",1986.0
María Andrés,41.0,Spanish ,E-2,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=821&cHash=d57544c3651fb25ee31095945a097da4,,1984.0
Josh Angulo,50.0,American ,CV-1,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=27&cHash=8046538175f5b03645bb3af8b65e8803,"Angulo, Challenger Sails, Streamlined, Lynch Associates",1975.0
Pablo Ania,35.0,Spanish ,ESP-16,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1370&cHash=4115090059f37bb9ca8e9047d050c5f7,"Fanatic, Duotone, Real Federación Española de Vela (RFEV), Asociación Española de Funboard (AEF)",1990.0
Ian Anic,18.0,Croatian ,CRO-30,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1942&cHash=795b9a4c159d5205b468feac0a5a3d7b,,2007.0
Vasiliki Argyropoulou,30.0,Greek ,GRE-111,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=2186&cHash=f3a9d234217654302ad126a565ccccb9,,1995.0
Damien Arnoux,26.0,French ,FRA-848,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1785&cHash=9f462edcffa1d87bfbaed5f0522ab4d5,"Goya Windsurfing, Loftsails, Banque Populaire Méditerranée",1999.0
Valérie Arrighetti Ghibaudo,52.0,French ,FRA-444,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=748&cHash=0b6bf9a7a0bf879893ce2d19cbac0e5b,"Patrik Boards, GA Sails",1973.0
Arthur Arutkin,28.0,French ,F-7,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1375&cHash=020588f73a29ac1d9ab816eab042ddae,"Flikka, GUNSAILS, Black Project Fins, Red Bull, ION",1997.0
Alice Léa Justine Arutkin,33.0,French ,F-111,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=971&cHash=411e9487adabd00a54acc982dbf8df1a,"Fanatic, Duotone, ION, Select Fins, Sosh, Red Bull, Le coq sportif, Florette Paquerette",1992.0
Norio Asano,54.0,Japanese ,J-25,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1159&cHash=71e99d1a9f56cc864d7ace31cc215d7c,"FMX Racing, S2Maui, Quiksilver, Brunotti Sportswear",1971.0
Mathias Asencio,,French ,F-18,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1854&cHash=1131c43e28578d31a64fc1f731521153,,
Oriane Asensi,,French ,FRA-818,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1855&cHash=21fa6820e96f46b52456556ab244e3aa,,
Gunnar Asmussen,46.0,German ,GER-2,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1085&cHash=c62c367ae9d076c8c28a4c8fa9f85f1e,"Starboard, Severne Windsurfing, Nordmann Tool Monitoring",1979.0
Benjamin Augé,29.0,French ,FRA-2,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1505&cHash=42bc982be49aede5b143c4141d9d9334,"Starboard, Severne Windsurfing",1996.0
Arrianne Aukes,38.0,Dutch ,H-131,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1177&cHash=15f5eacbcbea75279d6b16b855d5a9e8,"Fanatic, Duotone, Wind Jeri, Autobedrif van der Weide, Planet Windsurf All Sport, Sorobon Beach Resort, Pure Energie, Maui Ultra Fins, ION",1987.0
Clément Bachellereau,44.0,French ,NC-57,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1544&cHash=eeea243d30a55acaa5adf33f97d51f24,"Shark Energy Drink, Serical, Micromedia",1981.0
Nil Bacon,,Andorran ,F-712,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1901&cHash=6c6467adafacb8ec8b6054cb30a3c29f,"Patrik Boards, Patrik Sails",
Kiran Badloe,31.0,Dutch ,NED-9,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=1858&cHash=734982a508a36d8896c156970a7b785a,"Starboard, Severne Windsurfing, Starboard Foil",1994.0
Sebastian Bail,21.0,German ,GER-150,https://www.pwaworldtour.com/index.php?id=7&tx_pwasailor_pi1%5BshowUid%5D=2019&cHash=937cf2270fc18ba9dff4b6f517975a0d,,2004.0
